# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

一		1000010000				yī	
一一		1000010001				yīyī	
一一九		1000010002				yīyījiǔ	
一二		1000010003				yī’èr	
一丁點兒	一丁点儿	1000010005				yìdīnɡdiǎr	yīdīnɡdiǎnr
一人		1000010006				yìrén	yīrén
一人得道，雞犬升天	一人得道，鸡犬升天	1000010007				yìrén-dédào,jīquǎn-shēnɡtiān	yīrén-dédào,jīquǎn-shēnɡtiān
一刀		1000010009				yìdāo	yīdāo
一刀切		1000010010		★		yìdāoqiē	yīdāoqiē
一刀兩斷	一刀两断	1000010011				yìdāo-liǎnɡduàn	yīdāo-liǎnɡduàn
一刀斃命	一刀毙命	1000010012				yìdāo-bìmìnɡ	yīdāo-bìmìnɡ
一力		1000010013				yílì	yīlì
一了心願	一了心愿	1000010014				yìliǎo-xīnyuàn	yīliǎo-xīnyuàn
一了百了		1000010015				yìliǎo-bǎiliǎo	yīliǎo-bǎiliǎo
一了百當	一了百当	1000010016				yìliǎo-bǎidànɡ	yīliǎo-bǎidànɡ
一干		1000010017				yìɡān	yīɡān
一下		1000010018				yíxià	yīxià
一下子		1000010019				yíxiàzi	yīxiàzi
一工		1000010020				yìɡōnɡ	yīɡōnɡ
一大半		1000010021				yídàbàn	yīdàbàn
一大早		1000010022				yídàzǎo	yīdàzǎo
一寸		1000010024				yícùn	yīcùn
一寸光陰一寸金	一寸光阴一寸金	1000010025				yícùnɡuānɡyīn-yícùnjīn	yīcùnɡuānɡyīn-yīcùnjīn
一上一下		1000010026				yíshànɡ-yíxià	yīshànɡ-yīxià
一口		1000010027				yìkǒu	yīkǒu
一口咬定		1000010028				yìkǒu-yǎodìnɡ	yīkǒu-yǎodìnɡ
一口氣	一口气	1000010029				yìkǒuqì	yīkǒuqì
一口價	一口价	1000010031				yìkǒujià	yīkǒujià
一山不容二虎	一山不容二虎	1000010032				yì shān bùrónɡ èr hǔ	yī shān bùrónɡ èr hǔ
一千零一夜	一千零一夜	1000010034				yìqiānlínɡyíyè	yīqiānlínɡyīyè
一夕		1000010035				yíxì	yīxī
一丸泥	一丸泥	1000010036				yìwánní	yīwánní
一己		1000010037				yìjǐ	yījǐ
一己之私		1000010038				yìjǐzhīsī	yījǐzhīsī
一己之物		1000010039				yìjǐzhīwù	yījǐzhīwù
一小撮	一小撮	1000010040				yìxiǎocuò	yīxiǎocuō
一子兒	一子儿	1000010041				yìzěr	yīzǐr
一之謂甚	一之谓甚	1000010042				yīzhīwèishèn	
一文		1000010043				yìwén	yīwén
一文不名		1000010044				yìwén-bùmínɡ	yīwén-bùmínɡ
一文不值		1000010045				yìwén-bùzhí	yīwén-bùzhí
一方		1000010046				yìfānɡ	yīfānɡ
一心	一心	1000010048				yìxīn	yīxīn
一心一意	一心一意	1000010049				yìxīn-yíyì	yīxīn-yīyì
一心一德	一心一德	1000010050				yìxīn-yìdé	yīxīn-yīdé
一心不亂	一心不乱	1000010051				yìxīnbúluàn	yīxīnbùluàn
一天		1000010053				yìtiān	yītiān
一天到晚		1000010054				yìtiān-dàowǎn	yītiān-dàowǎn
一夫當關	一夫当关	1000010055				yìfū-dānɡɡuān	yīfū-dānɡɡuān
一夫當關，萬夫莫開	一夫当关，万夫莫开	1000010056				yìfū-dānɡɡuān,wànfū-mòkāi	yīfū-dānɡɡuān,wànfū-mòkāi
一夫當關，萬夫莫敵	一夫当关，万夫莫敌	1000010057				yìfū-dānɡɡuān,wànfū-mòdí	yīfū-dānɡɡuān,wànfū-mòdí
一元		1000010058				yìyuán	yīyuán
一元大武		1000010059				yìyuán dàwǔ	yīyuán dàwǔ
一元方程式	一元方程式	1000010060				yìyuán fānɡchénɡshì	yīyuán fānɡchénɡshì
一元化	一元化	1000010061				yìyuánhuà	yīyuánhuà
一元復始	一元复始	1000010062				yìyuán-fùshǐ	yīyuán-fùshǐ
一元論	一元论	1000010063				yìyuánlùn	yīyuánlùn
一木難支	一木难支	1000010065				yímù-nánzhī	yīmù-nánzhī
一五一十		1000010066				yīwǔ-yīshí	
一不小心	一不小心	1000010067				yíbùxiǎoxīn	yībùxiǎoxīn
一不做，二不休		1000010068				yībúzuò,èrbùxiū	yībùzuò,èrbùxiū
一反常態	一反常态	1000010070				yìfǎn-chánɡtài	yīfǎn-chánɡtài
一切		1000010071				yíqiè	yīqiè
一切從簡	一切从简	1000010072				yíqiè-cónɡjiǎn	yīqiè-cónɡjiǎn
一切經音義	一切经音义	1000010073				yíqièjīnɡ yīnyì	yīqièjīnɡ yīnyì
一日		1000010074				yírì	yīrì
一日九遷	一日九迁	1000010075				yírì-jiǔqiān	yīrì-jiǔqiān
一日三秋	一日三秋	1000010076				yírì-sānqiū	yīrì-sānqiū
一日千里		1000010077				yírì-qiānlǐ	yīrì-qiānlǐ
一日之長	一日之长	1000010078	1			yírìzhīzhǎnɡ	yīrìzhīzhǎnɡ
一日之長	一日之长	1000010078	2			yírìzhīchánɡ	yīrìzhīchánɡ
一日之計在於晨	一日之计在于晨	1000010079				yí rì zhī jì zàiyú chén	yī rì zhī jì zàiyú chén
一日之雅		1000010080				yírìzhīyǎ	yīrìzhīyǎ
一日不見，如隔三秋	一日不见，如隔三秋	1000010081				yírì-bújiàn,rúɡésānqiū	yīrì-bùjiàn,rúɡésānqiū
一日為師，終身為父	一日为师，终身为父	1000010082				yírì-wéishī,zhōnɡshēn-wéifù	yīrì-wéishī,zhōnɡshēn-wéifù
一日捐	一日捐	1000010083				yírìjuān	yīrìjuān
一介		1000010084				yíjiè	yījiè
一介不取	一介不取	1000010085				yíjiè-bùqǔ	yījiè-bùqǔ
一分一毫		1000010086				yìfēn-yìháo	yīfēn-yīháo
一分子		1000010087				yífènzǐ	yīfènzǐ
一分為二	一分为二	1000010088				yìfēnwéi’èr	yīfēnwéi’èr
一分耕耘，一分收穫	一分耕耘，一分收获	1000010089				yìfēn-ɡēnɡyún,yìfēn-shōuhuò	yīfēn-ɡēnɡyún,yīfēn-shōuhuò
一分錢，一分貨	一分钱，一分货	1000010090				yìfēnqián,yìfēnhuò	yīfēnqián,yīfēnhuò
一手		1000010091				yìshǒu	yīshǒu
一手包辦	一手包办	1000010092				yìshǒu-bāobàn	yīshǒu-bāobàn
一手遮天	一手遮天	1000010093				yìshǒu-zhētiān	yīshǒu-zhētiān
一毛		1000010094				yìmáo	yīmáo
一毛不拔	一毛不拔	1000010095				yìmáo-bùbá	yīmáo-bùbá
一毛錢	一毛钱	1000010096				yìmáoqián	yīmáoqián
一片	一片	1000010097				yípiàn	yīpiàn
一片石	一片石	1000010099				yípiànshí	yīpiànshí
一片冰心	一片冰心	1000010100				yípiàn-bīnɡxīn	yīpiàn-bīnɡxīn
一片汪洋	一片汪洋	1000010101				yípiàn-wānɡyánɡ	yīpiàn-wānɡyánɡ
一仍舊貫	一仍旧贯	1000010102				yìrénɡ-jiùɡuàn	yīrénɡ-jiùɡuàn
一戶一驗	一户一验	1000010103		★		yíhù-yíyàn	yīhù-yīyàn
一月		1000010104				yíyuè	yīyuè
一孔之見	一孔之见	1000010105				yìkǒnɡzhījiàn	yīkǒnɡzhījiàn
一半		1000010106				yíbàn	yībàn
一半天		1000010107				yíbàntiān	yībàntiān
一去不返	一去不返	1000010108				yíqù-bùfǎn	yīqù-bùfǎn
一世		1000010109				yíshì	yīshì
一世之雄		1000010110				yíshìzhīxiónɡ	yīshìzhīxiónɡ
一古腦兒	一股脑儿	1000010111				yìɡǔnǎor	yīɡǔnǎor
一本		1000010112				yìběn	yīběn
一本正經	一本正经	1000010113				yìběn-zhènɡjīnɡ	yīběn-zhènɡjīnɡ
一本初衷		1000010114				yìběn-chūzhōnɡ	yīběn-chūzhōnɡ
一本通	一本通	1000010115				yìběntōnɡ	yīběntōnɡ
一本萬利	一本万利	1000010116				yìběn-wànlì	yīběn-wànlì
一本萬殊	一本万殊	1000010117				yìběn-wànshū	yīběn-wànshū
一石二鳥	一石二鸟	1000010118				yìshí-èrniǎo	yīshí-èrniǎo
一石兩鳥	一石两鸟	1000010119				yìshí-liǎnɡniǎo	yīshí-liǎnɡniǎo
一以貫之	一以贯之	1000010120				yīyǐɡuànzhī	
一以當十	一以当十	1000010121				yīyǐdānɡshí	
一卡多號	一卡多号	1000010122				yìkǎ-duōhào	yīkǎ-duōhào
一卡通	一卡通	1000010123				yìkǎtōnɡ	yīkǎtōnɡ
一旦		1000010124				yídàn	yīdàn
一目		1000010125				yímù	yīmù
一目十行		1000010126				yímù-shíhánɡ	yīmù-shíhánɡ
一目了然	一目了然	1000010127				yímù-liǎorán	yīmù-liǎorán
一目瞭然	一目了然	1000010128				yímù-liǎorán	yīmù-liǎorán
一甲		1000010129				yìjiǎ	yījiǎ
