# 兩岸差異用詞
# https://github.com/g0v/moedict-data-csld/blob/master/兩岸差異用詞.xlsx
# https://dict.concised.moe.edu.tw/appendix.jsp?ID=54
# 差異別: 1=兩岸同實異名-753; 2=兩岸同名異實-97; 3=臺灣特有-801; 4=大陸特有-3301
# 
# 臺灣詞	大陸詞	差異別

三角皮帶	三角帶	1
世界大學運動會	世界大學生運動會	1
互動式電視	交互式電視	1
人工智慧	人工智能	1
代理孕母	代孕母親	1
代理孕母	代母	1
低階語言	低級語言	1
優養化	富營養化	1
儲值卡	充值卡	1
入口網站	門戶網站	1
全球資訊網	萬維網	1
公事包	公文包	1
勞力密集型	勞動密集型	1
區域網路	局域網	1
同步口譯	同聲傳譯	1
唯讀儲存器	只讀存儲器	1
單株抗體	單克隆抗體	1
噴射式油墨印表機	噴墨打印機	1
嚴重急性呼吸道症候群	沙士	1
國民外交	民間外交	1
國際換日線	國際日期變更線	1
地震強度	地震烈度	1
基因體	基因組	1
太空飛行員	航天員	1
套裝軟體	套裝軟件	1
安定器	鎮流器	1
寬頻網路	寬帶網絡	1
寬頻電話	互聯網電話	1
導引酶	引發酶	1
導盲磚	盲道磚	1
小耳朵	小鍋	1
少年矯正學校	少年管教所	1
差集	補集	1
店頭市場	場外交易市場	1
廣域網路	廣域網	1
延長線	接線板	1
影印本	複印件	1
影音	聲像	1
急救金	應急金	1
感熱紙	熱敏紙	1
房屋稅	房產稅	1
救難包	防備包	1
數據機	調制解調器	1
易開罐	易拉罐	1
晶片	芯片	1
智慧卡	芯片卡	1
智能障礙兒童	低常兒童	1
朋馳	奔馳	1
核子戰爭	核戰爭	1
核子試爆	核試驗	1
殘障者	殘疾人	1
沒戲唱	沒戲	1
沙拉油	色拉油	1
滑輪溜冰	輪滑	1
激勃素	赤黴素	1
無線滑鼠	無線鼠標	1
營運長	首席運營官	1
狂牛症	瘋牛病	1
環境負載力	環境承載力	1
瓦斯桶	液化氣罐	1
生物晶片	生物芯片	1
矽藻	硅藻	1
確認鍵	回車	1
程式設計	程序設計	1
程式語言	程序設計語言	1
空氣品質	空氣質量	1
空地稅	土地閒置稅	1
競速滑冰	速滑	1
純水	純淨水	1
組合語言	匯編語言	1
網際網路電話	網上電話	1
網路綜合症	網絡綜合徵	1
網路書店	網上書店	1
網路電話	網絡電話	1
聖女番茄	聖女果	1
自體免疫疾病	自身免疫病	1
航廈	候機樓	1
芮氏	里氏	1
虛擬記憶體	虛擬存儲器	1
西洋棋	國際象棋	1
觸控式螢幕	觸控式屏幕	1
販賣部	小賣部	1
資料匯流排	數據總線	1
賓士	奔馳	1
軟碟	軟磁盤	1
軟碟	軟盤	1
通提	通兌	1
連線	聯機	1
選殖	克隆	1
閘道器	網間連接器	1
隨身碟	快閃碟	1
隨身碟	閃盤	1
雙槽洗衣機	雙桶洗衣機	1
雲端運算	雲計算	1
雷射武器	激光武器	1
電話答錄機	錄音電話	1
電玩軟體	電玩軟件	1
音效卡	聲卡	1
頂客族	丁克族	1
頂客族	丁客族	1
類比電視	模擬電視	1
黑箱作業	暗箱操作	1
乾燥花	乾花	1
保全員	保安員	1
儲值	充值	1
光碟機	光盤驅動器	1
光碟燒錄機	光盤刻錄機	1
內搭褲	打底褲	1
內部網路	內聯網	1
共享軟體	共享軟件	1
列印機	打印機	1
區域網路	局域網絡	1
印表機	打印機	1
原子筆	圓珠筆	1
受薪階級	工薪族	1
同步口譯	同聲翻譯	1
哈啾	阿嚏	1
噴墨印表機	噴墨打印機	1
在職訓練	崗位培訓	1
均值定理	中值定理	1
坎城影展	戛納影展	1
執行長	首席執行官	1
多益	托業	1
太空衣	航天服	1
太空工業	航天工業	1
威而鋼	萬艾可	1
安親班	托管班	1
家庭計畫	計劃生育	1
寬螢幕電視	寬屏幕電視	1
導言	導語	1
巡弋飛彈	巡航導彈	1
帕拉林匹克運動會	殘奧會	1
建教合作	廠校掛鉤	1
影音製品	音像製品	1
徒步區	步行街	1
徵才會	招聘會	1
懼高症	恐高症	1
成屋	現房	1
戶口名簿	戶口本	1
戶口名簿	戶口簿	1
扮白臉	唱紅臉	1
挽面	絞臉	1
掩埋場	填埋場	1
擬真視訊	網真	1
數位圖書館	數字圖書館	1
數位傳輸	數碼通信	1
數位相機	數字相機	1
數位電視	數碼電視	1
文書處理	文字處理	1
智慧型	智能型	1
智慧型手機	智能手機	1
暖氣機	暖風機	1
柔軟精	柔軟劑	1
桃莉羊	多莉羊	1
欄位	字段	1
殘障奧林匹克運動會	殘疾人奧運會	1
殘障奧林匹克運動會	殘疾人奧林匹克運動會	1
殘疾人士	殘疾人	1
液化瓦斯	液化氣	1
滑鼠手	鼠標手	1
特洛伊木馬程式	特洛伊木馬程序	1
瑕疵品	殘品	1
瓦斯車	天然氣汽車	1
生活品質	生存質量	1
皮膚炎	皮炎	1
看護	護工	1
矽片	硅片	1
矽晶片	硅晶片	1
私校	民校	1
科學記法	科學計數法	1
節水墊片	節水環	1
