# 现代汉语规范词典(第4版)-2022年
# 现代汉语规范词典第2版（文字版）
# https://forum.freemdict.com/t/topic/21075
# https://forum.freemdict.com/t/topic/18266
#
# 字词	完整字词	拼音

AA制	AA制	AA zhì
ABC	ABC	
ABS	ABS	
AB制	AB制	AB zhì
AB卷	AB卷	AB juàn
AB角	AB角	AB jué
ADSL	ADSL	
AI	AI	
AIDS	AIDS	
AM	AM	
APC	APC	
APEC	APEC	
API	API	
ATM	ATM	
AV产品	AV产品	AV chǎnpǐn
A股	A股	A gǔ
BBS	BBS	
BLOG	BLOG	
BP机	BP机	BP jī
B淋巴细胞	B淋巴细胞	B línbā xìbāo
B股	B股	B gǔ
B超	B超	B chāo
CAD	CAD	
CAI	CAI	
CBD	CBD	
CCC	CCC认证	
CCC认证	CCC认证	CCC rènzhèng
CCC认证	CCC	
CCTV	CCTV	
CD	CD	
CDMA	CDMA	
CD-R	CD-R	
CD-ROM	CD-ROM	
CD-RW	CD-RW	
CEO	CEO	
CEPA	CEPA	
CFO	CFO	
CI	CI	
CIP	CIP	
CPA	CPA	
CPI	CPI	
CPM	CPM	
CPU	CPU	
CT	CT	
DINK	DINK	
DIY	DIY	
DNA	DNA	
DOS	DOS	
DSL	DSL	
DV	DV	
DVD	DVD	
E-bank	E-bank	
E-book	E-book	
ED	ED	
E-mail	E-mail	
EMS	EMS	
EPT	EPT	
EQ	EQ	
FAX	FAX	
FM	FM	
GB	GB	
GDP	GDP	
GMDSS	GMDSS	
GNP	GNP	
GPS	GPS	
GRE	GRE	
GSM	GSM	
HDTV	HDTV	
HIV	HIV	
HSK	HSK	
H股	H股	H gǔ
ICQ	ICQ	
IC卡	IC卡	IC kǎ
ID卡	ID卡	ID kǎ
IELTS	IELTS	
internet	internet/Internet	
IOC	IOC	
IP卡	IP卡	IP kǎ
IP地址	IP地址	IP dìzhǐ
IP电话	IP电话	IP diànhuà
IQ	IQ	
ISBN	ISBN	
ISDN	ISDN	
ISO	ISO	
ISP	ISP	
ISRC	ISRC	
ISSN	ISSN	
IT	IT	
ITS	ITS	
KTV	KTV	
K线	K线	K xiàn
LCD	LCD	
LD	LD	
MBA	MBA	
MODEM	MODEM	
MP3	MP3	
MPA	MPA	
MRI	MRI	
MTV	MTV	
MW	MW	
NGO	NGO	
NMD	NMD	
N股	N股	N gǔ
OA	OA	
OPEC	OPEC	
OTC	OTC	
PC	PC	
PDA	PDA	
pH值	pH值	pH zhí
pH计	pH计	pH jì
PK	PK	
PPI	PPI	
PSC	PSC	
QQ	QQ	
RMB	RMB	
ROM	ROM	
SARS	SARS	
SCI	SCI	
SIM卡	SIM卡	SIM kǎ
SMS	SMS	
SOHO族	SOHO族	SOHO zú
SOS儿童村	SOS儿童村	SOS értóngcūn
Tel	Tel	
TMD	TMD	
TOEFL	TOEFL	
TOEIC	TOEIC	
TV	TV	
T型台	T型台	T xíng tái
T恤衫	T恤衫	T xù shān
T淋巴细胞	T淋巴细胞	T línbā xìbāo
UFO	UFO	
USB	USB	
U盘	U盘	U pán
VCD	VCD	
VIP	VIP	
VOD	VOD	
WAP	WAP	
WC	WC	
WHO	WHO	
WTO	WTO	
WWW	WWW	
W考生	W考生	W kǎoshēnɡ
X射线	X射线	X shèxiàn
X染色体	X染色体	X rǎnsètǐ
Y染色体	Y染色体	Y rǎnsètǐ
α射线	α射线	α shèxiàn
α粒子	α粒子	α lìzǐ
β射线	β射线	β shèxiàn
β粒子	β粒子	β lìzǐ
γ刀	γ刀	γ dāo
γ射线	γ射线	γ shèxiàn
“三个代表”重要思想	三个代表重要思想	
“三个代表”重要思想	三个代表	
“五七”干校	五七干校	
“文化大革命”	文化大革命	
〇	〇	líng
㑇	㑇	zhòu
㑩	㑩	luó
㑳	㑇	
㑺	俊	
㒺	罔	
㓦	㓦	bāi
㓦划	㓦	
㕁	却	
㕑	厨	
㕘	参	
㕠	双	
㕥	以	
㕶	嗯	
㖞	㖞	wāi
㗄	圐	
㗏	㗏	wāi
㗑	㗑	bai
㘄	㘄	lēng
㘆	呔	
㘎	㘎	hǎn
㘗	㘗	qū
㘚	㘎	
㘥	㘥	yóu
㘥子	㘥	yóuzi
㘭	坳	
㘱	坍	
㘵	㘵	bù
㙘	㙘	yāo
㙟	塱	
㙡	㙡	zōng
㙦	㙦	xié
㚁	翘	
㚻	㚻	jī
㚻奸	㚻奸	jījiān
㛃	㛃	jié
㛚	㛚	tǒng
㝃	娩	
㝛	宿	
㝠	冥	
㝡	最	
㞎	㞎	bǎ
㞎㞎	㞎	
㞘	㞘	dū
㞞	屣	sóng
㟁	岸	
㟂	㟂	mǔ
㟂矶角	㟂矶角	mǔjījiǎo
㟂矶角	㟂	
㟃峿	㟃	
㟖	㟖	lòng
㠀	岛	
㠄	嶍	
㠣	𫵷	
㠣崌	𫵷	
㠯	以	
㠶	帆	
㡌	帽	
㡑	缲	
㡓	裈	
㢘	廉	
㤘	㤘	zhòu
㤙	恩	
㤥	㤥	hài
㥏	㥏	tiǎn
㥦	惬	
㥫	惇	
㥮	㤘	
㧏	㧏	gāng
㧐	㧐	sǒng
㧑	㧑	huī
㧟	㧟	kuǎi
㧱	拿	
㨄	㨄	zhōu
㨗	捷	
㨘	擤	
㨪	晃	
㨿	据	
㩋	𪮋	
㩐	扽	
㩗	携	
㩙	揌	
㩟	㩟	zhài
㩦	携	
㩳	㧐	
㪍	勃	
㪚	散	
㪟	敦	
㫃	㫃	yǎn
㫰	㫰	làng
㬉	暖	
㬊	㬊	huàn
㬤	㬤	qī
㬪	叠	
㭎	㭎	gāng
㮾	㮾	lǎng
㮾梨	㮾梨	lǎnglí
㮾梨	㮾	
㯭	橹	
㯳	檠	
㰀	㰀	lí
㰀檬	㰀檬	líméng
㰀檬	㰀	
㰍	栊	
㰳	㰳	yà
㱃	饮	
㱮	㱮	huì
㱮脓	溃脓	
㳂	沿	
㳄	涎	
㳒	法	
㳠	㳠	tà
㴩	㴩	yōng
㴱	深	
㵐	㵐	jué
㶁	㶁	huò
㶁㶁	㶁㶁	huòhuò
㶁㶁	㶁	
㶲	㶲	yòng
㷟	煺	
㷻	㷻	wú
㷻	𭴊	
㸆	㸆	kào
㹎	㹎	léi
㹢	㹢	jiā
㹭	㹭	yì
㺀	㺀	hū
㺀𤝽	㺀𤝽	hūlǜ
㺀𤝽	㺀	
㺄	㺄	yǔ
㺢	㺢	huò
㺢㹢狓	㺢㹢狓	huòjiāpí
㺢㹢狓	㺢	
㻞	㻞	bīn
㻫	珌	
㻬琈	㻬	
㼆	𬎆	
㼈	㼈	luó
㼝	碗	
㽁	鬲	
㽏	㽏	gàn
㽏井沟	㽏井沟	gànjǐnggōu
㽏井沟	㽏	
㽘	㽘	gǎng
㽞	留	
㾵	记	
㾹	柴	
㿜	瘪	
䁖	䁖	lōu
䂫	夯	
䃅	䃅	dī
䃉	珉	
䃎	䃎	zhà
䃘	硁	
䃠	碹	
䃥	䃥	chuáng
䃮	鿎	
䃰	䃰	cā
䄍	蜡	
䅟	䅟	cǎn
䇭	䇭	lǎo
䈎	页	
䈰	筲	
䊀	糊	
䊪	粝	
䋎	𬘜	
䌷	䌷	chōu
䌷	䌷	chóu
䌷绎	䌷绎	chōuyì
䌹	䌹	jiǒng
䎬	䎬	bà
䏝	䏝	zhuān
䏡	䏡	shì
䏿	䏿	qǐ
䑲	棹	
䒣	苒	
䓖	䓖	qióng
䓛	䓛	qū
䓣	𬜯	
䓫	䓫	qí
䓫莱主山	䓫莱主山	qíláizhǔshān
䓫莱主山	䓫	
䔛	苘	
䕭	荨	
䕷	䕷	mí
䖏	处	
䗖	䗖	dì
䗖蝀	䗖	
䗖𬟽	䗖	
䗛	䗛	xiū
䗪	䗪	zhè
䗪虫	䗪虫	zhèchóng
䗪虫	䗪	
䗬	蜂	
䗻	䗻	jié
䘏	恤	
䘑	脉	
䘕	䘕	háng
䘕衏	䘕衏	hángyuàn
䘕衏	䘕	
䘚	卒	
䘮	丧	
䙌	䙌	kuì
䛐	词	
䛡	话	
䜣	䜣	xīn
䜩	䜩	yàn
䜺	䜺	chǎi
䝔	獾	
䝙	䝙	chū
䝟	猰	
䝼	䞍	
䞍	䞍	qíng
䞓	赪	
䟡	䟡	zhī
䟤	䟤	bié
䟤跋	䟤跋	biébá
䟤跋	䟤	
䠀	蹚	
䠊	剕	
䠱	躅	
䠶	射	
䡵	𫟦	
䢺	䢺	chū
䢺江	䢺江	chūjiāng
䢺江	䢺	
䤌	䤌	qiāng
䤨	𬬲	
䤼	𬭣	
䥇	钐	
䥑	鿏	
䥕	𬭯	
䥥	镰	
䥽	䥽	pō
䦃	䦃	zhuó
䦆	䦆	jué
䦛	䦶	
䦟	䦷	
䦶	䦶	zhèng
䦶䦷	䦶	
䦷	䦷	chuài
䧡	墉	
䨦	雱	
䩄	䩄	miǎn
䩄	䩄	tiǎn
䩄觍	䩄	
䫈	碜	
䫏	𬱦	
䬃	飒	
䭾	驮	
䮄	𫠊	
䯄	䯄	guā
䯧	庼	
䰀	䰀	wǒ
䰀鬌	䰀鬌	wǒtuǒ
䰀鬌	䰀	
䰖	纂	
䰛	鬲	
䰟	魂	
䰾	鲃	
䱗	䱗	cān
䱗鲦	䱗	
䱚	䱚	lù
䱛	䱛	huò
䱵	䱵	wēng
䱷	渔	
䱻	䱻	huá
䲁	鳚	
䲗	䲗	xián
䲘	鳤	
䲟	䲟	yìn
䲠	䲠	chūn
䲡	䲡	qiú
䲢	䲢	téng
䳘	鹅	
䴉	鹮	
䴓	䴓	shī
䴔	䴔	jiāo
䴔䴖	䴔	
䴕	䴕	liè
䴖	䴖	jīng
䴗	䴗	jú
䴘	䴘	tī
䴙	䴙	pì
䴙䴘	䴙	
䴚	䴚	gǎng
䴸	麸	
䶊	衄	
䶧	咬	
䶸	吆	
一	一1	yī
一	一2	yī
一一	一一	yīyī
一丁点	一丁点儿	
一丁点儿	一丁点儿	yīdīngdiǎnr
一下	一下	yīxià
一不做，二不休	一不做，二不休	yībùzuò,èrbùxiū
一专多能	一专多能	yīzhuān-duōnéng
一世	一世	yīshì
一丘之貉	一丘之貉	yīqiūzhīhé
一丝	一丝	yīsī
一丝不挂	一丝不挂	yīsī-bùguà
一丝不苟	一丝不苟	yīsī-bùgǒu
一个劲	一个劲儿	
一个劲儿	一个劲儿	yīgejìnr
一个心眼	一个心眼儿	
一个心眼儿	一个心眼儿	yīge-xīnyǎnr
一个萝卜一个坑	一个萝卜一个坑儿	
一个萝卜一个坑儿	一个萝卜一个坑儿	yīge luóbo yīge kēngr
一举	一举	yījǔ
一举一动	一举一动	yījǔ-yīdòng
一举两得	一举两得	yījǔ-liǎngdé
一举成名	一举成名	yījǔ-chéngmíng
一了百了	一了百了	yīliǎo-bǎiliǎo
一争高低	一争高低	yīzhēnggāodī
一事	一事	yīshì
一事无成	一事无成	yīshì-wúchéng
一二	一二	yī'èr
一二·九运动	一二九运动	
一二九运动	一二·九运动	yī'èr-jiǔ yùndòng
一二九运动	一二·九运动	
一五一十	一五一十	yīwǔ-yīshí
一些	一些	yīxiē
一人得道，鸡犬升天	一人得道，鸡犬升天	yīrén-dédào，jīquǎn-shēngtiān
一仍旧贯	一仍旧贯	yīréng-jiùguàn
一代	一代	yīdài
一任	一任	yīrèn
一伙	一伙儿	
一伙儿	一伙儿	yīhuǒr
一会	一会儿	
一会儿	一会儿	yīhuìr
一似	一似	yīsì
一体	一体	yītǐ
一体化	一体化	yītǐhuà
一例	一例	yīlì
一侧	一侧	yīcè
一倡百和	一倡百和	yīchàng-bǎihè
一偏	一偏	yīpiān
一元化	一元化	yīyuánhuà
一元论	一元论	yīyuánlùn
一共	一共	yīgòng
一再	一再	yīzài
一决雌雄	一决雌雄	yījué-cíxióng
一准	一准	yīzhǔn
一刀两断	一刀两断	yīdāo-liǎngduàn
一刀切	一刀切	yīdāoqiē
一刀齐	一刀齐	yīdāoqí
一分为二	一分为二	yīfēnwéi'èr
一切	一切	yīqiè
一刬	一刬	yīchàn
一刹那	一刹那	yīchànà
一刻	一刻	yīkè
一刻千金	一刻千金	yīkè-qiānjīn
一力	一力	yīlì
一动	一动	yīdòng
一动不动	一动不动	yīdòng-bùdòng
一劳永逸	一劳永逸	yīláo-yǒngyì
一半	一半	yībàn
一卡通	一卡通	yīkǎtōng
一厢情愿	一厢情愿	yīxiāng-qíngyuàn
一反常态	一反常态	yīfǎn-chángtài
一发	一发	yīfā
一发千钧	一发千钧	yīfà-qiānjūn
一口	一口	yīkǒu
一口气	一口气	yīkǒuqì
一古脑儿	一股脑儿	
一叶知秋	一叶知秋	yīyè-zhīqiū
一叶蔽目	一叶蔽目	yīyè-bìmù
一叶障目	一叶障目	yīyè-zhàngmù
一同	一同	yītóng
一吐为快	一吐为快	yītǔ-wéikuài
一向	一向	yīxiàng
一味	一味	yīwèi
一呼百应	一呼百应	yīhū-bǎiyìng
一呼百诺	一呼百诺	yīhū-bǎinuò
一命呜呼	一命呜呼	yīmìng-wūhū
一品红	一品红	yīpǐnhóng
一哄而上	一哄而上	yīhòng'érshàng
一哄而散	一哄而散	yīhòng'érsàn
一哄而起	一哄而起	yīhòng'érqǐ
一唱一和	一唱一和	yīchàng-yīhè
一唱百和	一唱百和	yīchàng-bǎihè
一回事	一回事	yīhuíshì
一团和气	一团和气	yītuán-héqì
一团漆黑	一团漆黑	yītuán-qīhēi
一团糟	一团糟	yītuánzāo
一国两制	一国两制	yīguó-liǎngzhì
一场空	一场空	yīchángkōng
一块	一块儿	
一块儿	一块儿	yīkuàir
一塌糊涂	一塌糊涂	yītā-hútú
一声不响	一声不响	yīshēng-bùxiǎng
一多半	一多半	yīduōbàn
一大早	一大早	yīdàzǎo
一天	一天	yītiān
一天到晚	一天到晚	yītiān-dàowǎn
一失足成千古恨	一失足成千古恨	yī shīzú chéng qiāngǔ hèn
一头	一头	yītóu
一头儿沉	一头儿沉	yītóurchén
一头儿热	一头儿热	yītóurrè
一头沉	一头儿沉	
一头热	一头儿热	
一头雾水	一头雾水	yītóu-wùshuǐ
一如	一如	yīrú
一如既往	一如既往	yīrú-jìwǎng
一孔之见	一孔之见	yīkǒngzhījiàn
一字一板	一字一板	yīzì-yībǎn
一字千金	一字千金	yīzì-qiānjīn
一字长蛇阵	一字长蛇阵	yīzì chángshézhèn
一定	一定	yīdìng
一定之规	一定之规	yīdìngzhīguī
一审	一审	yīshěn
一家一户	一家一户	yījiā-yīhù
一家之言	一家之言	yījiāzhīyán
一家人	一家人	yījiārén
一家子	一家子	yījiāzi
一宿	一宿	yīxiǔ
一小	一小儿	
一小儿	一小儿	yīxiǎor
一小撮	一小撮	yīxiǎocuō
一尘不染	一尘不染	yīchén-bùrǎn
一展身手	一展身手	yīzhǎnshēnshǒu
一差二错	一差二错	yīchā-èrcuò
一己	一己	yījǐ
一帆风顺	一帆风顺	yīfān-fēngshùn
一带	一带	yīdài
一席之地	一席之地	yīxízhīdì
一席话	一席话	yīxíhuà
一幕	一幕	yīmù
一干	一干	yīgān
一干二净	一干二净	yīgān-èrjìng
一年到头	一年到头	yīnián-dàotóu
一年半载	一年半载	yīnián-bànzǎi
一年四季	一年四季	yīnián-sìjì
一年生	一年生	yīniánshēng
一并	一并	yībìng
一应	一应	yīyīng
一应俱全	一应俱全	yīyīng-jùquán
一度	一度	yīdù
一张一弛	一张一弛	yīzhāng-yīchí
一往情深	一往情深	yīwǎng-qíngshēn
一往无前	一往无前	yīwǎng-wúqián
一径	一径	yījìng
一律	一律	yīlǜ
一得	一得	yīdé
一得之功	一得之功	yīdézhīgōng
一得之愚	一得之愚	yīdézhīyú
一得之见	一得之见	yīdézhījiàn
一心	一心	yīxīn
一心一德	一心一德	yīxīn-yīdé
一心一意	一心一意	yīxīn-yīyì
一心为公	一心为公	yīxīn-wèigōng
一念之差	一念之差	yīniànzhīchā
一怔	一怔	yīzhèng
一总	一总	yīzǒng
一息尚存	一息尚存	yīxī-shàngcún
一意孤行	一意孤行	yīyì-gūxíng
一成不变	一成不变	yīchéng-bùbiàn
一手	一手	yīshǒu
一手遮天	一手遮天	yīshǒu-zhētiān
一扫而光	一扫而光	yīsǎo'érguāng
一扫而空	一扫而空	yīsǎo'érkōng
一技之长	一技之长	yījìzhīcháng
一把手	一把手	yībǎshǒu
一把抓	一把抓	yībǎzhuā
一拍即合	一拍即合	yīpāi-jíhé
一挥而就	一挥而就	yīhuī'érjiù
一掷千金	一掷千金	yīzhì-qiānjīn
一揽子	一揽子	yīlǎnzi
一改故辙	一改故辙	yīgǎi-gùzhé
一整套	一整套	yīzhěngtào
一文不名	一文不名	yīwén-bùmíng
一斑	一斑	yībān
一新	一新	yīxīn
一方	一方	yīfāng
一方面	一方面	yīfāngmiàn
一旁	一旁	yīpáng
