# 现代汉语词典（第7版）-2016年
# 原始词条：70,101（合并后67,439）
#
# 字词	序号	完整字词	拼音

吖	00001	吖	ā
吖嗪	00002	吖嗪	āqín
阿	00003	阿	ā
阿鼻地狱	00004	阿鼻地狱	ābí dìyù
阿昌族	00005	阿昌族	Āchāngzú
阿斗	00006	阿斗	Ā Dǒu
阿尔茨海默病	00007	阿尔茨海默病	ā’ěrcíhǎimòbìng
阿尔法粒子	00008	阿尔法粒子	ā’ěrfǎ lìzǐ
阿尔法射线	00009	阿尔法射线	ā’ěrfǎ shèxiàn
阿飞	00010	阿飞	āfēi
阿伏伽德罗常量	00011	阿伏伽德罗常量	Āfújiādéluó chángliàng
阿公	00012	阿公	āgōng
阿訇	00013	阿訇	āhōng
阿拉伯人	00014	阿拉伯人	Ālābórén
阿拉伯数字	00015	阿拉伯数字	Ālābó shùzì
阿兰若	00016	阿兰若	ālánrě
阿罗汉	00017	阿罗汉	āluóhàn
阿猫阿狗	00018	阿猫阿狗	āmāo āgǒu
阿门	00019	阿门	āmén
阿片	00020	阿片	āpiàn
阿婆	00021	阿婆	āpó
阿Q	00022	阿Q	Ā Q
阿是穴	00023	阿是穴	āshìxué
阿嚏	00024	阿嚏	ātì
阿姨	00025	阿姨	āyí
呵	00026	呵	ā
啊	00027	啊	ā
锕	00028	锕（錒）	ā
腌	00029	腌	ā
腌臜	00030	腌臜	ā·za
呵	00031	呵	á
啊	00032	啊	á
嗄	00033	嗄	á
呵	00034	呵	ǎ
啊	00035	啊	ǎ
呵	00036	呵	à
啊	00037	啊	à
阿	00038	阿	·a
呵	00039	呵	·a
啊	00040	啊	·a
哎	00041	哎	āi
哎呀	00042	哎呀	āiyā
哎哟	00043	哎哟	āiyō
哀	00044	哀	āi
哀兵必胜	00045	哀兵必胜	āibīng-bìshèng
哀愁	00046	哀愁	āichóu
哀辞	00047	哀辞	āicí
哀悼	00048	哀悼	āidào
哀的美敦书	00049	哀的美敦书	āidìměidūnshū
哀告	00050	哀告	āigào
哀歌	00051	哀歌	āigē
哀号	00052	哀号	āiháo
哀嚎	00053	哀嚎	āiháo
哀鸿遍野	00054	哀鸿遍野	āihóng-biànyě
哀矜	00055	哀矜	āijīn
哀苦	00056	哀苦	āikǔ
哀怜	00057	哀怜	āilián
哀鸣	00058	哀鸣	āimíng
哀戚	00059	哀戚	āiqī
哀启	00060	哀启	āiqǐ
哀泣	00061	哀泣	āiqì
哀切	00062	哀切	āiqiè
哀求	00063	哀求	āiqiú
哀荣	00064	哀荣	āiróng
哀伤	00065	哀伤	āishāng
哀思	00066	哀思	āisī
哀叹	00067	哀叹	āitàn
哀恸	00068	哀恸	āitòng
哀痛	00069	哀痛	āitòng
哀婉	00070	哀婉	āiwǎn
哀艳	00071	哀艳	āiyàn
哀怨	00072	哀怨	āiyuàn
哀乐	00073	哀乐	āiyuè
埃	00074	埃1	āi
埃	00075	埃2	āi
埃博拉出血热	00076	埃博拉出血热	Āibólā chūxuèrè
挨	00077	挨	āi
挨班儿	00078	挨班儿	āi//bānr
挨边	00079	挨边	āi//biān
挨次	00080	挨次	āicì
挨个儿	00081	挨个儿	āi//gèr
挨肩儿	00082	挨肩儿	āijiānr
挨近	00083	挨近	āi//jìn
唉	00084	唉	āi
唉声叹气	00085	唉声叹气	āishēng-tànqì
娭	00086	娭	āi
娭毑	00087	娭毑	āijiě
欸	00088	欸	āi
嗳	00089	嗳（噯）	āi
锿	00090	锿（鎄）	āi
挨	00091	挨（⁑捱）	ái
挨板子	00092	挨板子	ái bǎn·zi
挨批	00093	挨批	ái//pī
挨宰	00094	挨宰	ái//zǎi
挨整	00095	挨整	ái//zhěng
𫘤	00096	𫘤（騃）	ái
皑	00097	皑（皚）	ái
皑皑	00098	皑皑	ái’ái
癌	00099	癌	ái（旧读yán）
癌变	00100	癌变	áibiàn
癌症	00101	癌症	áizhèng
毐	00102	毐	ǎi
欸	00103	欸	ǎi
欸乃	00104	欸乃	ǎinǎi
嗳	00105	嗳（噯）	ǎi
嗳气	00106	嗳气	ǎiqì
嗳酸	00107	嗳酸	ǎisuān
矮	00108	矮	ǎi
矮半截儿	00109	矮半截儿	ǎi bànjiér
矮墩墩	00110	矮墩墩	ǎidūndūn
矮化	00111	矮化	ǎihuà
矮小	00112	矮小	ǎixiǎo
矮星	00113	矮星	ǎixīng
矮行星	00114	矮行星	ǎixíngxīng
矮子	00115	矮子	ǎi·zi
蔼	00116	蔼1（藹）	ǎi
蔼	00117	蔼2（藹）	ǎi
蔼蔼	00118	蔼蔼	ǎi’ǎi
蔼然	00119	蔼然	ǎirán
霭	00120	霭（靄）	ǎi
艾	00121	艾1	ài
艾	00122	艾2	ài
艾	00123	艾3	ài
艾	00124	艾4	ài
艾蒿	00125	艾蒿	àihāo
艾虎	00126	艾虎1	àihǔ
艾虎	00127	艾虎2	àihǔ
艾绒	00128	艾绒	àiróng
艾窝窝	00129	艾窝窝	àiwō·wo
