# 中国·国家地名信息库 行政区划代码（数据截止日期为2025年12月31日）
# https://dmfw.mca.gov.cn/XzqhVersionPublish.html
#
# name	code	level	type	children
# -	00	0		34

北京市	11	1	直辖市	16
北京市	110000000	1		
东城区	110101	3	市辖区	0
东城区	110101000	3		
东华门街道	110101001	4		
景山街道	110101002	4		
交道口街道	110101003	4		
安定门街道	110101004	4		
北新桥街道	110101005	4		
东四街道	110101006	4		
朝阳门街道	110101007	4		
建国门街道	110101008	4		
东直门街道	110101009	4		
和平里街道	110101010	4		
前门街道	110101011	4		
崇文门外街道	110101012	4		
东花市街道	110101013	4		
龙潭街道	110101014	4		
体育馆路街道	110101015	4		
天坛街道	110101016	4		
永定门外街道	110101017	4		
西城区	110102	3	市辖区	0
西城区	110102000	3		
西长安街街道	110102001	4		
新街口街道	110102003	4		
月坛街道	110102007	4		
展览路街道	110102009	4		
德胜街道	110102010	4		
金融街街道	110102011	4		
什刹海街道	110102012	4		
大栅栏街道	110102013	4		
天桥街道	110102014	4		
椿树街道	110102015	4		
陶然亭街道	110102016	4		
广安门内街道	110102017	4		
牛街街道	110102018	4		
白纸坊街道	110102019	4		
广安门外街道	110102020	4		
朝阳区	110105	3	市辖区	0
朝阳区	110105000	3		
建外街道	110105001	4		
朝外街道	110105002	4		
呼家楼街道	110105003	4		
三里屯街道	110105004	4		
左家庄街道	110105005	4		
香河园街道	110105006	4		
和平街街道	110105007	4		
安贞街道	110105008	4		
亚运村街道	110105009	4		
小关街道	110105010	4		
酒仙桥街道	110105011	4		
麦子店街道	110105012	4		
团结湖街道	110105013	4		
六里屯街道	110105014	4		
八里庄街道	110105015	4		
双井街道	110105016	4		
劲松街道	110105017	4		
潘家园街道	110105018	4		
垡头街道	110105019	4		
南磨房乡	110105021	4		
高碑店乡	110105022	4		
将台乡	110105023	4		
太阳宫乡	110105024	4		
大屯街道	110105025	4		
望京街道	110105026	4		
小红门乡	110105027	4		
十八里店乡	110105028	4		
平房乡	110105029	4		
东风乡	110105030	4		
奥运村街道	110105031	4		
来广营乡	110105032	4		
常营回族乡	110105033	4		
三间房乡	110105034	4		
管庄乡	110105035	4		
金盏乡	110105036	4		
孙河乡	110105037	4		
崔各庄乡	110105038	4		
东坝乡	110105039	4		
黑庄户乡	110105040	4		
豆各庄乡	110105041	4		
王四营乡	110105042	4		
东湖街道	110105043	4		
首都机场街道	110105400	4		
丰台区	110106	3	市辖区	0
丰台区	110106000	3		
右安门街道	110106001	4		
太平桥街道	110106002	4		
西罗园街道	110106003	4		
大红门街道	110106004	4		
南苑街道	110106005	4		
东高地街道	110106006	4		
东铁匠营街道	110106007	4		
六里桥街道	110106008	4		
丰台街道	110106009	4		
新村街道	110106010	4		
长辛店街道	110106011	4		
云岗街道	110106012	4		
方庄街道	110106013	4		
宛平街道	110106014	4		
马家堡街道	110106015	4		
和义街道	110106016	4		
卢沟桥街道	110106017	4		
花乡街道	110106018	4		
成寿寺街道	110106020	4		
石榴庄街道	110106021	4		
玉泉营街道	110106022	4		
看丹街道	110106023	4		
五里店街道	110106024	4		
青塔街道	110106025	4		
北宫镇	110106100	4		
王佐镇	110106101	4		
石景山区	110107	3	市辖区	0
石景山区	110107000	3		
八宝山街道	110107001	4		
老山街道	110107002	4		
八角街道	110107003	4		
古城街道	110107004	4		
苹果园街道	110107005	4		
金顶街街道	110107006	4		
广宁街道	110107009	4		
五里坨街道	110107010	4		
鲁谷街道	110107011	4		
海淀区	110108	3	市辖区	0
海淀区	110108000	3		
万寿路街道	110108001	4		
永定路街道	110108002	4		
羊坊店街道	110108003	4		
甘家口街道	110108004	4		
八里庄街道	110108005	4		
紫竹院街道	110108006	4		
北下关街道	110108007	4		
北太平庄街道	110108008	4		
学院路街道	110108010	4		
中关村街道	110108011	4		
海淀街道	110108012	4		
青龙桥街道	110108013	4		
清华园街道	110108014	4		
燕园街道	110108015	4		
香山街道	110108016	4		
清河街道	110108017	4		
花园路街道	110108018	4		
西三旗街道	110108019	4		
马连洼街道	110108020	4		
田村路街道	110108021	4		
上地街道	110108022	4		
海淀镇	110108023	4		
东升镇	110108024	4		
曙光街道	110108025	4		
温泉镇	110108026	4		
四季青镇	110108027	4		
西北旺镇	110108028	4		
苏家坨镇	110108029	4		
上庄镇	110108030	4		
门头沟区	110109	3	市辖区	0
门头沟区	110109000	3		
大峪街道	110109001	4		
城子街道	110109002	4		
东辛房街道	110109003	4		
大台街道	110109004	4		
王平镇	110109005	4		
永定镇	110109006	4		
龙泉镇	110109007	4		
潭柘寺镇	110109101	4		
军庄镇	110109104	4		
雁翅镇	110109105	4		
斋堂镇	110109106	4		
清水镇	110109107	4		
妙峰山镇	110109108	4		
房山区	110111	3	市辖区	0
房山区	110111000	3		
城关街道	110111001	4		
新镇街道	110111002	4		
向阳街道	110111004	4		
东风街道	110111005	4		
迎风街道	110111006	4		
星城街道	110111007	4		
良乡镇	110111008	4		
周口店镇	110111009	4		
琉璃河镇	110111010	4		
拱辰街道	110111011	4		
西潞街道	110111012	4		
阎村镇	110111101	4		
窦店镇	110111103	4		
石楼镇	110111104	4		
长阳镇	110111105	4		
河北镇	110111107	4		
长沟镇	110111108	4		
大石窝镇	110111109	4		
张坊镇	110111110	4		
十渡镇	110111111	4		
青龙湖镇	110111112	4		
韩村河镇	110111115	4		
霞云岭乡	110111208	4		
南窖乡	110111209	4		
佛子庄乡	110111210	4		
大安山乡	110111211	4		
史家营乡	110111212	4		
蒲洼乡	110111213	4		
通州区	110112	3	市辖区	0
通州区	110112000	3		
中仓街道	110112001	4		
新华街道	110112002	4		
北苑街道	110112003	4		
玉桥街道	110112004	4		
潞源街道	110112007	4		
通运街道	110112008	4		
文景街道	110112009	4		
九棵树街道	110112010	4		
临河里街道	110112011	4		
杨庄街道	110112012	4		
潞邑街道	110112013	4		
宋庄镇	110112104	4		
张家湾镇	110112105	4		
漷县镇	110112106	4		
马驹桥镇	110112109	4		
西集镇	110112110	4		
台湖镇	110112114	4		
永乐店镇	110112117	4		
潞城镇	110112119	4		
永顺镇	110112120	4		
梨园镇	110112121	4		
于家务回族乡	110112209	4		
顺义区	110113	3	市辖区	0
顺义区	110113000	3		
胜利街道	110113001	4		
光明街道	110113002	4		
仁和镇	110113003	4		
后沙峪镇	110113004	4		
天竺镇	110113005	4		
杨镇	110113006	4		
牛栏山镇	110113007	4		
南法信镇	110113008	4		
马坡镇	110113009	4		
石园街道	110113010	4		
空港街道	110113011	4		
