# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

一公城		1	0001
一全坞	(一全塢)	2	0001
一合坞	(一合塢)	3	0001
一秃河	(一禿河)	4	0001
一泉坞	(一泉塢)	5	0001
一迷河		6	0001
一碗泉		7	0001
一鲲身	(一鯤身)	8	0001
一片石关	(一片石關)	9	0001
乙连城	(乙連城)	10	0001
乙离骨岭	(乙離骨嶺)	11	0001
二江		12	0001
二关	(二關)	13	0001
二京		14	0001
二陕	(二陝)	15	0001
二郢		16	0001
二崤		17	0001
二榆		18	0001
二襄		19	0001
二里冈	(二里岡)	20	0001
二里头	(二里頭)	21	0001
二林城		22	0001
二祖镇	(二祖鎮)	23	0001
二塘铺	(二塘鋪)	24	0001
二十四陂		25	0001
二十四桥	(二十四橋)	26	0001
十道		27	0001
十寨		28	0001
十薮	(十藪)	29	0002
十一都		30	0002
十二州		31	0002
十二街		32	0002
十八省		33	0002
十八路		34	0002
十八滩	(十八灘)	35	0002
十九州		36	0002
十九路		37	0002
十三山		38	0002
十三州		39	0002
十三省		40	0002
十三都		41	0002
十万山	(十萬山)	42	0002
十五省		43	0003
十五道		44	0003
十五路		45	0003
十里陌		46	0003
十里垒	(十里壘)	47	0003
十岭山	(十嶺山)	48	0003
十部县	(十部縣)	49	0003
十蓉营	(十蓉營)	50	0003
十二连城	(十二連城)	51	0003
十二里庄		52	0003
十二营寨	(十二營寨)	53	0003
十八盘岭	(十八盤嶺)	54	0003
十三万户	(十三萬户)	55	0003
十三里桥	(十三里橋)	56	0003
十五里冈	(十五里岡)	57	0003
十八先生墓		58	0003
十三刺史部		59	0003
十一行中书省	(十一行中書省)	60	0004
十二关长官司	(十二關長官司)	61	0004
十二营长官司	(十二營長官司)	62	0004
十三布政使司		63	0004
十八寨千户所		64	0004
丁村		65	0004
丁汲镇	(丁汲鎮)	66	0004
丁角镇	(丁角鎮)	67	0004
丁家洲		68	0004
丁溪山		69	0004
丁溪城		70	0004
七矶	(七磯)	71	0004
七闽	(七閩)	72	0004
七女津		73	0004
七门郡	(七門郡)	74	0004
七门堰	(七門堰)	75	0004
七介山		76	0004
七台山		77	0004
七巩墟	(七鞏墟)	78	0004
七级口	(七級口)	79	0004
七里井		80	0004
七里谷		81	0004
七里店		82	0004
七里亭		83	0004
七里涧	(七里澗)	84	0005
七里寨		85	0005
七里铺	(七里鋪)	86	0005
七里濑	(七里瀨)	87	0005
七贤乡	(七賢鄉)	88	0005
七金山		89	0005
七宝山	(七寶山)	90	0005
七宝镇	(七寶鎮)	91	0006
七星冈	(七星岡)	92	0006
七星关	(七星關)	93	0006
七星镇	(七星鎮)	94	0006
七洲洋		95	0006
七格星		96	0006
七盘山	(七盤山)	97	0006
七盘关	(七盤關)	98	0006
七盘县	(七盤縣)	99	0006
七源州		100	0006
七溪部		101	0005
七洲洋山		102	0005
七十城门甸	(七十城門甸)	103	0005
七星关后千户所	(七星關后千户所)	104	0005
卜奎		105	0005
卜魁		106	0005
卜哈儿	(卜哈兒)	107	0005
卜容营	(卜容營)	108	0005
卜颜卫	(卜顏衛)	109	0006
卜剌河卫	(卜剌河衛)	110	0006
卜鲁兀卫	(卜魯兀衛)	111	0006
卜忽秃河卫	(卜忽禿河衛)	112	0006
卜鲁丹河卫	(卜魯丹河衛)	113	0006
八川		114	0006
八水		115	0006
八关	(八關)	116	0006
八陉	(八陘)	117	0006
八{犬/皿}		118	0006
八闽	(八閩)	119	0006
八普		120	0006
八寨		121	0006
八薮	(八藪)	122	0006
八弓铺	(八弓鋪)	123	0006
八王陵		124	0006
八开铺	(八開鋪)	125	0006
八公山		126	0006
八方泊		127	0006
八尺寨		128	0006
八斥站		129	0006
八达城	(八達城)	130	0007
八关城	(八關城)	131	0007
八米俺		132	0007
八里庄		133	0007
八里坌		134	0007
八里茫		135	0007
八赤镇	(八赤鎮)	136	0007
八角台		137	0007
八角城		138	0007
八角镇	(八角鎮)	139	0007
八咏楼	(八詠樓)	140	0007
八姑荡	(八姑蕩)	141	0007
八房场	(八房場)	142	0007
八峰山		143	0007
八特阪		144	0007
八部山		145	0007
八涧镇	(八澗鎮)	146	0007
八渡墟		147	0007
八叠岭	(八疊嶺)	148	0007
八叠滩	(八疊灘)	149	0007
八寨厅	(八寨廳)	150	0007
八鲁弯	(八魯彎)	151	0007
八激堤		152	0007
八十里山		153	0007
八里水铺	(八里水鋪)	154	0007
八剌沙衮	(八剌沙袞)	155	0007
八答黑商		156	0007
八百宣慰司		157	0007
八角千户所		158	0007
八寨长官司	(八寨長官司)	159	0007
八百大甸宣慰司		160	0008
八舟长官蛮夷司	(八舟長官蠻夷司)	161	0008
八舟军民长官司	(八舟軍民長官司)	162	0008
八番顺元宣慰司	(八番順元宣慰司)	163	0008
人门	(人門)	164	0008
人头山	(人頭山)	165	0008
人和寨		166	0008
人复县	(人復縣)	167	0008
儿国	(兒國)	168	0008
几邑	(幾邑)	169	0008
九山		170	0008
九川		171	0008
九龙	(九龍)	172	0008
九边	(九邊)	173	0008
九有		174	0008
九曲		175	0008
九江		176	0008
九州		177	0008
九观	(九觀)	178	0008
九围	(九圍)	179	0009
九河		180	0009
九星		181	0009
九囿		182	0009
九原		183	0009
九峰		184	0009
九域		185	0009
九野		186	0009
九薮	(九藪)	187	0009
九山洋		188	0009
九山城		189	0009
九门县	(九門縣)	190	0009
九门邑	(九門邑)	191	0009
九女关	(九女關)	192	0009
九女原		193	0009
九井山		194	0009
九井镇	(九井鎮)	195	0009
九支县	(九支縣)	196	0009
九日山		197	0009
九龙山	(九龍山)	198	0009
九龙乡	(九龍鄉)	199	0009
九龙水	(九龍水)	200	0009
九龙县	(九龍縣)	201	0009
九龙泉	(九龍泉)	202	0009
九龙渠	(九龍渠)	203	0009
九龙镇	(九龍鎮)	204	0009
九仙山		205	0009
九老堂		206	0009
九成宫	(九成宮)	207	0010
九曲山		208	0010
九曲军	(九曲軍)	209	0010
九曲城		210	0010
九曲亭		211	0010
九曲渎	(九曲瀆)	212	0010
九曲寨		213	0010
九华山	(九華山)	214	0010
九华宫	(九華宮)	215	0010
九羊寨		216	0010
九州石		217	0010
九江村		218	0010
九江府		219	0010
九江国	(九江國)	220	0010
九江郡		221	0010
九阳堡	(九陽堡)	222	0010
九连山	(九連山)	223	0010
九连城	(九連城)	224	0010
九折坂		225	0010
九折岩		226	0010
九里山		227	0010
九里关	(九里關)	228	0010
九里村		229	0010
九里邑		230	0010
九里松		231	0010
九里城		232	0010
九陇县	(九隴縣)	233	0011
九陇郡	(九隴郡)	234	0011
九杵关	(九杵關)	235	0011
九侯山		236	0011
九星洋		237	0011
九宫山	(九宮山)	238	0011
九宫岭	(九宮嶺)	239	0011
九洲镇	(九洲鎮)	240	0011
九真县	(九真縣)	241	0011
九真郡		242	0011
九原山		243	0011
九原邑		244	0011
九原县	(九原縣)	245	0011
九原郡		246	0011
九原站		247	0011
九卿陂		248	0011
九皋山		249	0011
九渡水		250	0011
九道梁		251	0011
