# 中国·国家地名信息库 地名公告
# https://dmfw.mca.gov.cn/nameChange.html
# https://dmfw.mca.gov.cn/name/getListOther?title=&pageNum=1&pageSize=12
#
# word	pinyin

001乡道	001xiāngdào
002乡道	002xiāngdào
003乡道	003xiāngdào
004乡道	004xiāngdào
005乡道	005xiāngdào
006乡道	006xiāngdào
009乡道	009xiāngdào
010乡道	010xiāngdào
019乡道	019xiāngdào
029乡道后李集段	029xiāngdàohòulǐjíduàn
038县道	038xiàndào
042路	042lù
1-7-胡同10	1-7-hútong 10
1-7-胡同九	1-7- Hútong 9
101仓小区东路	101cāngxiǎoqūdōnglù
101仓小区东路一横巷	101cāngxiǎoqūdōnglùyīhéngxiàng
101仓小区东路七横巷	101cāngxiǎoqūdōnglùqīhéngxiàng
101仓小区东路三横巷	101cāngxiǎoqūdōnglùsānhéngxiàng
101仓小区东路二横巷	101cāngxiǎoqūdōnglùèrhéngxiàng
101仓小区东路五横巷	101cāngxiǎoqūdōnglùwǔhéngxiàng
101仓小区东路六横巷	101cāngxiǎoqūdōnglùliùhéngxiàng
101仓小区东路四横巷	101cāngxiǎoqūdōnglùsìhéngxiàng
101仓小区中路	101cāngxiǎoqūzhōnglù
101仓小区中路一横巷	101xiǎoqūzhōnglùyīhéngxiàng
101仓小区中路七横巷	101cāngxiǎoqūzhōnglùqīhéngxiàng
101仓小区中路三横巷	101cāngxiǎoqūzhōnglùsānhéngxiàng
101仓小区中路九横巷	101cāngxiǎoqūzhōnglùjiǔhéngxiàng
101仓小区中路二横巷	101cāngxiǎoqūzhōnglùèrhéngxiàng
101仓小区中路五横巷	101cāngxiǎoqūzhōnglùwǔhéngxiàng
101仓小区中路八横巷	101cāngxiǎoqūzhōnglùbāhéngxiàng
101仓小区中路六横巷	101cāngxiǎoqūzhōnglùliùhéngxiàng
101仓小区中路四横巷	101cāngxiǎoqūzhōnglùsìhéngxiàng
101仓小区西路	101cāngxiǎoqūxīlù
101仓小区西路一横巷	101cāngxiǎoqūxīlùyīhéngxiàng
101仓小区西路三横巷	101cāngxiǎoqūxīlùsānhéngxiàng
101仓小区西路二横巷	101cāngxiǎoqūxīlùèrhéngxiàng
106国道白沙公路	
106国道白沙公路一巷	
106国道白沙公路三巷	
106国道白沙公路二巷	
106国道白沙公路五巷	
106国道白沙公路四巷	
108过境路	108guòjìnglù
110千伏云朗变电站	110 Qiānfú Yúnlǎng Biàndiànzhàn
110千伏公园变电站	110qiānfúgōngyuánbiàndiànzhàn
110千伏共和（林场）变电站	110qiānfúgònghé (Línchǎng) Biàndiànzhàn
110千伏坑尾变电站	110qiānfúkēngwěibiàndiànzhàn
110千伏新港变电站	110 Qiānfú Xīngǎng Biàndiànzhàn
110千伏木棉岭变电站	110qiānfúmùmiánlǐngbiàndiànzhàn
110千伏民乐变电站	110 Qiānfú Mínyuè Biàndiànzhàn
110千伏永通变电站	110qiānfúyǒngtōngbiàndiànzhàn
110千伏源达变电站	110qiānfúyuándábiàndiànzhàn
110千伏盛园变电站	110 Qiānfú Shèngyuán Biàndiànzhàn
110千伏福祉变电站	110 Qiānfúfúzhǐbiàndiànzhàn
110千伏鄱阳变电站	110qiānfúpóyángbiàndiànzhàn
110千伏青山变电站	110qiānfúqīngshānbiàndiànzhàn
11号路	11hào Lù
124井场路	124jǐngchǎnglù
12号路	12hào Lù
135路	135 Lù
158井场路	158jǐngchǎnglù
174井场路	174jǐngchǎnglù
17户路	17hù Lù
1腰龟松六直巷	Yāoguīsōng 6 Zhíxiàng
2019年刚察县增减挂钩项目哈尔盖镇安置房及配套设施建设项目	2019niángāngcháxiànzēngjiǎnguàgōuxiàngmùhāěrgàizhènānzhìfángjípèitàoshèshījiànshèxiàngmù
220千伏梨园变电站	220 Qiānfúlíyuánbiàndiànzhàn
220千伏科学城二变电站	220qiānfúkēxuéchéngèrbiàndiànzhàn
220千伏科建变电站	220 Qiānfúkējiànbiàndiànzhàn
220千伏筑梦变电站	220qiānfúzhùmèngbiàndiànzhàn
220千伏蓉西变电站	220qiānfúróngxībiàndiànzhàn
220千伏鹤田变电站	220 Qiānfúhètiánbiàndiànzhàn
230国道	230guódào
316省道	316shěngdào
324省道	324shěngdào
35千伏大洞光伏电站	35 Qiānfú Dàdòng Guāngfúdiànzhàn
378村道路	378cūndàolù
37路	37 Lù
38路	38 Lù
39路	39 Lù
500千伏征程变电站	500 Qiānfúzhēngchéngbiàndiànzhàn
514国道商业街	514guódàoshāngyèjiē
552县道	552xiàndào
6号苑小区	6hàoyuànxiǎoqū
6组棚区路	6zǔpéngqūlù
6队巷	6duì Xiàng
7号路	7 Hào Lù
7队第一胡同	7duìdìyī Hútong
7队第三胡同	7duìdìsān Hútong
7队第二胡同	7duìdìèr Hútong
803路	Bālíngsān Lù
8号路	8 Hào Lù
99栋路	99dònglù
9号路	9hào Lù
9对第二巷	9duìdì Èrxiàng
9队第一巷	9duì Dìyīxiàng
C082一号桥	C082yīhào Qiáo
C082二号桥	C082èrhào Qiáo
G109-格德日格十二社	G109-Ge DeRiGeShiEr She
G109——东梁	G109——Dōngliáng
G109——眼睛梁	G109 — Yǎnjīng Liáng
G109——项家壕	G109 — Xiàngjiā Háo
G109—兴泽建材水泥厂	G109—xìngzé Jiàncáishuǐní Chǎng
G109—巴音布拉格嘎查委员会	G109 — Bayan Bûlag Gaqaanai Gaqaa Wěiyuánhuì
G109—扎木苏希利	G109 — Jamsu Xil
G109—查干德日斯	G109 — Qagaan Ders
G109—格德日格一社	G109—gedreg Yīshè
G109—格德日格二社	G109—gedreg Èrshè
G109—格德日格五社	G109—gedreg Wǔshè
G109—格德日格六社	G109 — Gedreg Liùshè
G109—运煤专线小油路	G109 — Yùnméizhuānxiàn Xiǎoyóulù
G109—道劳其日格	G109 — Dôlôôn Qarag
G109—阿斯尔淖尔	G109 — Asar Nûûr
G212国道	G212guódào
G230	G230
G234连接线	G234liánjiēxiàn
J4单元中心医院片区规划二路	
S211-中图十一社	S211 — Jongt Shiyishe
S211-独贵其日格七社	S211-Dúguìqírìgéqīshè
S211—胡珠苏莫	S211 — Hûûjûû Sum
S211—阿日柴达木十三社	S211 — Ar Qaidam Shísānshè
S211—阿日柴达木十二社	S211 — Ar Qaidam Shíèrshè
S215-新井渠五社	S215-XinJing Qu WuShe
S215—乌兰扎巴	S215 — Ûlaan Jab
S215—包日陶勒盖	S215 — Bôr Tôlgôi
S215—古城梁一社	S215 — Gǔchéngliáng Yīshè
S215—古城梁三社	S215 — Gǔchéngliáng Sānshè
S215—巴音温都尔	S215 — Bayan Ondo
S215—希和尔乌素四社	S215 — Xiher Ûs Sìshè
S215—希日黑	S215 — Xirhiin
S215—广丰三社	S215 — Guǎngfēng Sānshè
S215—广丰六社	S215 — Guǎngfēng Liùshè
S215—广丰四社	S215 — Guǎngfēng Sìshè
S215—扎日格一社	S215 — Jaarag Yīshè
S215—扎日格三社	S215 — Jaarag Sānshè
S215—扎日格五社	S215 — Jaarag Wǔshè
S215—扎日格庙	S215 — Jaarag Miào
S215—敖格窑淖尔	S215 — Ôyûû Nûûr
S215—敖楞乌素嘎查委员会	S215 — Ôlôn Ûs Gaqaanai Gaqaa Wěiyuánhuì
S215—独贵其日格三社	S215 — Dgûi Qarag Sānshè
S215—给塔嘎纳三社	S215—hyatgan Sānshè
S215—给塔嘎纳五社	S215 — Hyatgan Wǔshè
S215—舒特更苏莫	S215 — Xuteen Sum
S226—运煤专线	S226—Yùnméizhuānxiàn
S242—呼仁提格呼都格	S242—Hūréntígéhūdōugé
S308K51+300—简家坡公路	S308k51 300—jiǎnjiāpō Gōnglù
S311	S311
S316—东口子	S316 — Dōngkǒuzi
S316—乃玛岱一社	S316 — Naimtai Yīshè
S316—乃玛岱七社	S316 — Naimtai Qīshè
S316—乃玛岱三社	S316 — Naimtai Sānshè
S316—乃玛岱二社	S316 — Naimtai Èrshè
S316—乃玛岱五社	S316 — Naimtai Wǔshè
S316—乃玛岱八社	S316—Naimtai Bāshè
S316—乃玛岱四社	S316 — Naimtai Sìshè
S316—乌兰宿亥一社	S316 — Wūlánsùhài Yīshè
S316—乌兰木都五社	S316 — Ûlaan Môd Wǔshè
S316—乌兰木都四社	S316 — Ûlaan Môd Sìshè
S316—乌兰淖尔	S316 — Ûlaan Nûûr
S316—乡圪旦	S316 — Xiānggēdàn
S316—五苗树一社	S316 — Wǔmiáoshù Yīshè
S316—什来新村	S316 — Xaraiin Xīncūn
S316—光兴一社	S316 — Guāngxìng Yīshè
S316—光兴三社	S316 — Guāngxìng Sānshè
S316—光永一社	S316 — Guāngyǒng Yīshè
S316—光茂一社	S316 — Guāngmào Yīshè
S316—光茂五社	S316 — Guāngmào Wǔshè
S316—光茂四社	S316 — Guāngmào Sìshè
S316—南坡新村	S316 — Nánpō Xīncūn
S316—巴音一社	S316 — Bayan Yīshè
S316—巴音二社	S316 — Bayan Èrshè
S316—巴音五社	S316 — Bayan Wǔshè
S316—巴音四社	S316 — Bayan Sìshè
S316—巴音恩格尔牧业队	S316 — Bayan Engger Mùyèduì
S316—新建六社	S316 — Xīnjiàn Liùshè
S316—朝凯八社	S316 — Qôrgôô Bāshè
S316—村保卫	S316 — Cūnbǎowèi
S316—杭锦淖尔一社	S316 — Hanggin Nûûr Yīshè
S316—杭锦淖尔三社	S316 — Hanggin Nûûr Sānshè
S316—杭锦淖尔二社	S316 — Hanggin Nûûr Èrshè
S316—永先三社	S316 — Yǒngxiān Sānshè
S316—永胜三社	S316 — Yǒngshèng Sānshè
S316—永胜二社	S316—yǒngshèng Èrshè
S316—永胜四社	S316 — Yǒngshèng Sìshè
S316—碱柜三社	S316 — Jiǎnguì Sānshè
S316—碱柜二社	S316 — Jiǎnguì Èrshè
S316—碱柜五社	S316 — Jiǎnguì Wǔshè
S316—碱柜四社	S316 — Jiǎnguì Sìshè
S316—羊场二社	S316 — Yángchǎng Èrshè
S316—羊场四社	S316 — Yángchǎng Sìshè
S316—芒哈图九社	S316 — Manght Jiǔshè
S316—苏布日格五社	S316 — Sûbrag Wǔshè
S316—苏布日格六社	S316 — Sûbrag Liùshè
S316—隆茂永	S316 — Lóngmàoyǒng
S316—马头湾	S316 — Mǎtóuwān
S316—黄芥壕一社	S316 — Huángjièháo Yīshè
S316—黄芥壕三社	S316 — Huángjièháosānshè
S317连接线	S317liánjiēxiàn
X089路	X089 Lù
X621--巴音温都尔	X621 — Bayan Ondor
X621——察汗部落旅游区	X621 — Qagaan Bùluò Lǚyóuqū
X621—乌兰沙布日太	X621 — Ûlaan Xabartai
X621—乌兰陶日木	X621——Wūlántáorìmù
X621—包日苏	X621 — Bôr Sûû
X621—唐桂井后圪梁	X621—tanggûiin Jǐng Hòugēliáng
X621—敦达其日格	X621 — Dûnd Qarag
X621—沙巴格都呼木	X621 — Xabag Tohom
X621—浩雅尔脑木根	X621 — Hôyôr Nômhôn
X621—罗卜召	X621 — Lôbôn Jûû
X621—贵勒笋希利	X621 — Guilsen Xil
X623—古城梁七社	X623 — Gǔchéngliáng Qīshè
X623—古城梁六社	X623 — Gǔchéngliáng Liùshè
X623—布哈岱三社	X623 — Bûhtai Sānshè
X623—布哈岱二社	X623 — Bûhtai Èrshè
X623—翻身湾七社	X623 — Fānshēnwān Qīshè
X651—阿日善柴达木	X651 — Arxaan Qaidam
Y004二桥	Y004èr Qiáo
Y008一桥	Y008yī Qiáo
Y009一号桥	Y009yīhào Qiáo
Y012跨丹锡立交桥	Y012kuàdānxīlìjiāo Qiáo
Y020乡道	Y020xiāngdào
Y024路	Y024lù
Y604	Y604
Y604—古城梁四社	Y604 — Gǔchéngliáng Sìshè
Y604—阿门其日格一社	Y604 — Amanqarag Yīshè
Y604—阿门其日格五社	Y604 — Amanqarag Wǔshè
Y604—阿门其日格六社	Y604 — Aman Qarag Liùshè
Z·山林院子	Z·Shānlínyuànzi
Z·悬崖酒店	Z·Xuányájiǔdiàn
Z·野奢帐篷	Z·Yěshēzhàngpéng
“一老一小”幸福院	Yīlǎoyīxiǎo Xìngfúyuàn
“上林街160号”小区	
㘵一路	Bùyī Lù
㘵上路	Bùshànglù
㘵园街	Bùyuán Jiē
㙟下强一巷	Lǎngxiàqiáng 1 Xiàng
㙟下强三巷	Lǎngxiàqiáng 3 Xiàng
㙟下强二巷	Lǎngxiàqiáng 2 Xiàng
㙟下强五巷	Lǎngxiàqiáng 5 Xiàng
㙟下强四巷	Lǎngxiàqiáng 4 Xiàng
㙟下强路	Lǎngxiàqiáng Lù
㙟北路	Lǎngběi Lù
㛧华路	Mǎnhuálù
㞼阳路	Chéngyánglù
㩟圪瘩巷	Zhàigēdá Xiàng
㳕石一巷	Lánshí 1 Xiàng
㳕石二巷	Lánshí 2 Xiàng
㵲水新城	Wǔshuǐxīnchéng
㵲水路	Wǔshuǐ Lù
㵽水河路	Lěishuǐhé Lù
㹒牯地路	Pǔgǔdì Lù
㽏井河路	Gànjĭnghé Lù
䃛心路	Liànxīn Lù
䅟子坳路	Cǎnziàolù
䅟子街	Canzǐ Jiē
䓍塘路	Hǎntáng Lù
䓣碑路	Liǎngbēi Lù
䘵康巷	Lùkāng Xiàng
一〇二路	Yī〇Èrlù
一〇四团市民生活中心	Yī〇Sìtuánshìmínshēnghuózhōngxīn
一三小巷	Yīsān Xiǎoxiàng
一下线	Yīxià Xiàn
一世祖路	Yīshìzǔlù
一中东街	Yīzhōngdōng Jiē
一中东路	Yīzhōngdōng Lù
一中前东巷	Yīzhōngqián Dōngxiàng
一中前北巷	Yīzhōngqián Běixiàng
一中前西巷	Yīzhōngqián Xīxiàng
一中巷	Yīzhōngxiàng
一中榕	Yīzhōngróng
一中街	Yīzhōngjiē
一中路	1 Zhōnglù / Yīzhōng Lù
一中路口广场	Yīzhōnglùkǒuguǎngchǎng
一九巷	Yījiǔxiàng
一九路	Yījiŭ Lù
一二组环村路	Yī'èrzǔ Huáncūn Lù
一云学府	Yīyúnxuéfǔ
一五街	Yīwǔ Jiē
一井坝路	Yījǐngbàlù
一井路	Yījǐnglù
一人巷	Yīrénxiàng
一人里	Yīrén Lǐ
一仓库路北二巷	Yīcāngkù Lù Běi 2 Xiàng
一元街	Yīyuán Jiē
一元路	Yīyuán Lù
一六八中学站	Yīliùbāzhōngxué Zhàn
一兴路	Yīxīng Lù
一农站	Yīnóngzhàn
一分场东路	Yīfēnchǎngdōnglù
一分场中街	Yīfēnchǎngzhōngjiē
一分场西路	Yīfēnchǎngxīlù
一分局中路	Yīfēnjúzhōnglù
一分局北路	Yīfēnjúběilù
一分局西路	Yīfēnjúxīlù
一分局路	Yīfēnjúlù
一分干渠街	Yīfēngànqú Jiē
一前坛巷	Yīqiántán Xiàng
一副路	Yīfù Lù
一区一巷	Yīqū 1 Xiàng
一区一路	Yīqūyílù
一区七巷	Yīqū 7 Xiàng
一区三巷	Yīqū 3 Xiàng
一区九巷	Yīqū 9 Xiàng
一区二巷	Yīqū 2 Xiàng
一区二路	Yīqūèrlù
一区五巷	Yīqū 5 Xiàng
一区八巷	Yīqū 8 Xiàng
一区六巷	Yīqū 6 Xiàng
一区十一巷	Yīqū 11 Xiàng
一区十巷	Yīqū 10 Xiàng
一区四巷	Yīqū 4 Xiàng
一区崖底路	Yīqūyádǐlù
一区巷道	Yīqūhàngdào
