# 国家地名信息库·外国地名
# https://dmfw.mca.gov.cn/foreign.html
#
# 删除：
# 凡以此词居首的柬埔寨地名，概从Kâmpóng一栏检索。 Kompong，
#
# chineseName	countries	foreignName	romanAlphabet

万博省			Huambo, Prov. do
中美洲			Central America
中美洲联邦（历史地名）			Provincias Unidas del Centro de América
亚洲（亚细亚洲）			Asia
亚美尼亚苏维埃社会主义共和国（亚美尼亚）			[Armyanskaya SSR] Armjanskaja SSR
劳亚大陆			Laurasia
北冰洋			Arctic Ocean
北宽扎省			Kuanza Norte, Prov. do
北极			North Pole
北美洲（北亚美利加洲）			North America
南宽扎省			Kuanza Sul, Prov. do
南美洲（南亚美利加洲）			South America
南赡部洲（宗教、神话地名）			Jambudvipa
印度洋			Indian Ocean
塞尔瓦斯林原			Selvas
多米尼加联邦			Dominica, Commonwealth of
大洋洲			Oceania [Oceanica]
大西洋			Atlantic Ocean
太平洋			Pacific Ocean
奥斯曼帝国（历史地名）			Ottoman Empire / Othman Empire / Osman Empire
奥瓦德阿特鲁兹			‘Aţrūz
安达曼—尼科巴海岭			Andaman-Nicobar Ridge
安达曼海			Andaman Sea
得克萨斯州			Texas, State of
所多玛（宗教地名）			Sodom / Sedom
拉丁美洲			Latin America
柏林（西区）			Berlin (West)
欧亚大陆			Eurasia
欧洲（欧罗巴洲）			Europe
牛货洲（宗教、神话地名）			Aparagodāniya
白尼罗河			Abiad, Bahr el
胜身洲（宗教，神话地名）			Pūrvavideha
西班牙美洲（历史地名）			Spanish America
锡当河			Sittoung
阿兰蒂卡山			Alantika Mts.
阿卜杜勒库里岛			‘Abd al Kūrī
阿尔摩哈德王朝（历史地名）			Almohads
阿洛菲			Alofi
阿贝湖			Abbé, L.
非洲（阿非利加洲）			Africa
伦齐宗	不丹		Lhuntsi Dzong
塔希冈宗	不丹		Tashigang Dzong
尚贡宗	不丹		Shamgong Dzong
布姆唐河	不丹		Bumtang
帕罗	不丹		Paro
帕罗宗	不丹		Paro Dzoug
庞措林宗	不丹		Phuntsholing Dzong[Phunchholing]
廷布	不丹		[Thimphu] Thimbu / Thimbu
廷布宗	不丹		Thimbu Dzong
德旺吉里	不丹		Dewangiri
旺杜波德朗宗	不丹		Wangdu Phodrang Dzong
普尔冈	不丹		Bhurgaon
普那卡宗	不丹		Punakha Dzong
比亚卡尔宗	不丹		Byakar Dzong
萨邦宗	不丹		Sarbhāng Dzong
卓木拉日峰	不丹·中国		Chomo Lhari
马纳斯河	不丹·印度		Manās R.
东印度群岛（历史地名）	东南亚		East Indies
努沙登加拉群岛	东南亚		Nusa Tenggara, Kep.
堕罗钵底（历史地名）	东南亚		Dwarawaty / Dvārapati
大巽他群岛	东南亚		Sunda Besar, Kep.
巽他群岛	东南亚		Sunda Is.
海峡殖民地（三州府）（历史地名）	东南亚		Straits Settlements
湄公河	东南亚		Mekong R. / Khong, Mae Nam
苏拉威西海	东南亚		Sulawesi, Laut [Sulawesi Sea]
马六甲海峡	东南亚		Malacca, Str. of
马来群岛	东南亚		Malay Arch.
伯塔诺	东帝汶		Betano
利基萨镇	东帝汶		Vila de Liquiçá
劳滕	东帝汶		Lautém [Lauten]
卡摩纳将军镇	东帝汶		Vila General Carmona
哈图多	东帝汶		Hatudo
尼蒂贝	东帝汶		Nitibe
巴吉亚	东帝汶		Baguia
帝力	东帝汶		Díli [Dilly]
拉克拉河	东帝汶		Lacla, R.
新萨格里什	东帝汶		Nova Sagres
欧库西	东帝汶		Ocussi
毛巴拉	东帝汶		Maubara
维克克	东帝汶		[Viqueque] Vikeke
莱萨	东帝汶		Leça
萨拉查镇	东帝汶		Vila de Salazar
蒂洛马尔	东帝汶		Tilomar
阿塔普普	东帝汶		Atapupu
阿尔明杜·蒙特鲁镇	东帝汶		Vila Armindo Monteiro
阿陶罗岛	东帝汶		Atauro
马纳图图镇	东帝汶		Vila de Manatuto
图尔河	东欧		Tur [Túr]
蒂萨河	东欧		Tiszá / [Tissa] Tiszá / Tisa [Tisza]
（卢日采山）卢萨蒂亚山	东欧		(Lužické hory) Lusa tian Mt.
东非大裂谷	东非		[Rift V.] Great Rift V.
坦噶尼喀湖	东非		Tanganyika, L.
维多利亚湖	东非		Victoria, L.
莫桑比克海峡	东非		Mozambique Chan.
萨比尼奥火山	东非		[Sabinio] Sabinyo, Vol.
马拉维湖	东非		Malaŵi, L.
鲁济济河	东非		Ruzizi
空喀山口	中国·印度		Kongka La
羌臣摩河	中国·印度		Chang Chenmo
卓奥友峰	中国·尼泊尔		Qowowuyag [Cho Oyu]
平都拉山口	中国·尼泊尔		Pêdo La
惹嘎拉（山）	中国·尼泊尔		Rabga La [Rakh La]
洛子峰	中国·尼泊尔		Lhotse
珠穆朗玛峰（萨加玛塔峰）	中国·尼泊尔		Qomolangma Feng (Sagarmatha Pk.)
那木扎山口	中国·尼泊尔		Namsê Shankou [Namja La]
马卡鲁峰	中国·尼泊尔		Makalu
高里三喀峰	中国·尼泊尔		Gauri Shankar
乔戈里峰	中国·巴基斯坦		Qogir Feng (Chogori, Mt.)
加舒尔布鲁木山	中国·巴基斯坦		Gasherbrum Mt.
卡前乃达坂	中国·巴基斯坦		Kharchanai P.
因地拉科里山口	中国·巴基斯坦		Indirakoli P.
基里克达坂	中国·巴基斯坦		Kilik Daban [Kilik P. ]
帕尔皮克山口（帕日帕克山口）	中国·巴基斯坦		Parpik P. (Parpark P.)
明铁盖达坂	中国·巴基斯坦		Mingteke Daban (Mintaka P.)
努江（萨尔温江）	中国·缅甸		Nu Jiang (Salween)
巴士海峡	中国·菲律宾		Bashi Chan.
克鲁伦河	中国·蒙古		Kerulen R. / Herlen He (Herlen Gol)
哈拉哈河（哈勒欣河）	中国·蒙古		Chalchyn Gol
戈壁	中国·蒙古		Gobi
贝尔湖	中国·蒙古		Buir Нu (Buyr Nuur)
北仓河（嘎隆俄河）	中国·越南		Beilun He (Ka Long О, Song)
万戈	中非		Ouango
万贾	中非		Ouandjia
万贾—瓦卡加动物保护区	中非		Ouandjia Vakaga, Réserve de Faune de la
万贾河	中非		Ouandjia
万达	中非		Ouanda
上姆博穆省	中非		Haut-Mbomou, Préfect.
上桑加省	中非		Haute-Sangha, Préfect. de la
上科托省	中非		Haute-Kotto, Préfect. de la
下科托省	中非		Basse-Kotto, Préfect. de la
亚塔—恩加亚动物保护区	中非		Yata-Ngaya, Reserve de Faune de la
亚林加	中非		Yalinga
亚洛凯	中非		Yaloké
亚科西	中非		Yakossi
代尔比萨卡	中非		Derbisaka
代科阿	中非		Dékoa
伊拉班达	中非		Hyrra Banda
伊皮	中非		Ippy
凯莫格里宾吉省	中非		Kemo-Gribingui, Préfect. de la
加尔巴	中非		Garba
加济	中非		Gadzi
博乔莫	中非		Bodjomo
博亚利	中非		Boyali
博伊纳	中非		Boïna
博冈戈洛	中非		Bogangolo
博塞姆泰莱II	中非		Bossemtélé II
博巴图阿	中非		Bobatoua
博拜阿卜杜拉	中非		Bobai Abdullah
博桑戈阿	中非		Bossangoa
博森贝莱	中非		Bossembélé
博翁	中非		Bohong
博贝雷	中非		Bobéré
博达	中非		Boda
博阿利水电站	中非		Boali Hydroelectric Plant
卡博	中非		Kabo
吉宾吉巴伊杜	中非		Djibingui-Baïdou
塔卡拉格里宾济	中非		Takara-Gribinzi
塔拉	中非		Tala
奥克—奥卡莱动物保护区	中非		Aouk-Aoukalé. Réserve de Faune de l’
姆博	中非		Mbo
姆博穆省	中非		Mbomou, Préfect. du
姆巴埃雷河	中非		Mbaéré
姆拜基	中非		Mbaïki
宽果	中非		Kouango
巴卡拉	中非		Bakala
巴坦加福	中非		Batangafo
巴库马	中非		Bakouma
巴明吉—班戈兰省	中非		Bamingui-Bangoran, Préfect. du
巴明吉河	中非		Bamingui
巴赫尔	中非		Bahr
巴里河	中非		Bari
布卡	中非		Bouca [Bouka]
布里亚	中非		Bria
布阿尔	中非		Bouar
布阿拉	中非		Bouala
布马	中非		Bouma
帕塔	中非		Pata
帕塔河	中非		Pata
帕拉	中非		Pala
帕拉蒂奥	中非		Paratio
彭代河	中非		Pendé
恩代莱	中非		Ndélé
戈内库	中非		Gonékou
戈尔迪勒	中非		Gordil
扬巴拉	中非		Yambala
拉法伊	中非		Rafai
提济池	中非		Tizi, Mare de
旧泽蒙戈	中非		Ancien Zémongo
曼贝雷河	中非		Mambéré
格里宾吉—巴明吉动物保护区	中非		Gribingui-Bamingui, Réserve de Faune de
格里宾吉河	中非		Gribingui
格里马里	中非		Grimari
桑加经济省	中非		Sanga Économique, Préfec.
欣科河	中非		Chinko, R.
比劳	中非		Birao
比里尼	中非		Birini
法法河	中非		Fafa
泽米奥	中非		Zemio
洛巴伊河	中非		Lobaye
洛巴伊省	中非		Lobaye, Préfect. de la
班吉	中非		Bangui
班吉河	中非		Bangui [Bangui Kété]
瓦卡加省	中非		Vakaga, Préfect. de la
瓦卡河	中非		Ouaka
瓦卡省	中非		Ouaka, Préfet. de la
瓦姆—彭代省	中非		Ouham-Péndé, Préfect. de l’
瓦姆省	中非		Ouham, Préfect. de l’
瓦萨科—博洛自然保护区	中非		Vassako-Bolo, Réserve Intégrale de la
瓦达	中非		Ouadda
甘布拉	中非		Gamboula
登比亚	中非		Dèmbia
皮皮峡	中非		Pipi, Gorges de la
穆卡	中非		Mouka
纳纳曼贝雷省	中非		Nana-Mambéré, Préfect. de la
翁贝拉—姆波科省	中非		Ombella-Mpoko, Préfect. del’
肯贝	中非		Kembé
莫巴伊	中非		Mobaye
萨洛	中非		Salo
蒂济奥	中非		Tizzio
蒂龙古卢	中非		Tiroun Goulou
诺拉	中非		Nola
贝贝拉蒂	中非		Berbérati
达尔库提（地区）	中非		Dar el Kouti
达泰	中非		Daté
达里奥	中非		Dario
达马拉	中非		Damara
邦戈	中非		Bongo
邦戈兰河	中非		Bangoran
邦比奥	中非		Bambio
锡布	中非		Sibut
阿代拉耶	中非		Adélayé
阿林道	中非		Alindao
马拉利	中非		Marali
提瓦勒河	中非·苏丹		Tiwal, Wadi
达尔龙加（地区）	中非·苏丹		Dar Rounga (Dar Runga)
万堡	丹麦		Vandborg
万讷尔	丹麦		Vandel
万讷特湖	丹麦		Vaudet Sø
东乌尔斯莱乌	丹麦		Øster Ulslev
东勒古姆	丹麦		Øster Løgum
东特斯莱乌	丹麦		Øster Tørslev
东角	丹麦		Eystnes
东霍努姆	丹麦		Øster Hornum
东韦斯泰兹	丹麦		Øster Vedsted
丹讷马勒	丹麦		Dannemare
久斯兰半岛	丹麦		Djursland
乌兹比	丹麦		Udby
乌兹比内泽	丹麦		Udbyneder
乌兹比霍伊	丹麦		Udbyhøj
乌利茨	丹麦		Ullits
乌厄	丹麦		Uge
乌厄勒瑟	丹麦		Ugerløse
乌吉尔特	丹麦		Ugilt
乌尔克伯尔	丹麦		Ulkebøl
乌尔夫半岛	丹麦		Ulvshale
乌尔夫堡	丹麦		Ulfborg
乌尔夫堡基克比	丹麦		Ulfborg Kirkeby
乌尔夫海峡	丹麦		Ulv Sund
乌尔斯楚普	丹麦		Ulstrup
乌尔杜姆	丹麦		Uldum
乌尔比约	丹麦		Ulbjerg
乌尔金	丹麦		Ulkind
乌格尔胡瑟	丹麦		Uggelhuse
乌格斯莱乌	丹麦		Uggerslev
乌格比	丹麦		Uggerby
乌比	丹麦		Ubby
乌特斯莱乌	丹麦		Utterslev
乌瑟勒	丹麦		Usserød
乌莱乌	丹麦		Urlev
乌赫勒	丹麦		Uhre
于丁山	丹麦		Yding Skovhøj
于兹比	丹麦		Ydby
于泽比	丹麦		Yderby
亚伊辛	丹麦		Jejsing
亚勒鲁普	丹麦		Hjallerup
亚恩岛	丹麦		Hjarnø
亚拜克	丹麦		Hjarbæk
亚泽莫尔	丹麦		Hjardemål
亚鲁普	丹麦		Hjarup
亚默兰湾	丹麦		Jammerland Bugt
亚默湾	丹麦		Jammerbug
亨	丹麦		Høng
亨讷	丹麦		Henne
亨辛厄	丹麦		Hønsinge
仓厄湖	丹麦		Tange Sø
代勒	丹麦		Daler
代尔比	丹麦		Dalby
代尔比内泽	丹麦		Dalbyneder
代尔比奥沃	丹麦		Dalbyover
代尔莫瑟	丹麦		Dalmose
代比约	丹麦		Dejbjerg
伊凯斯特	丹麦		Ikast
伊卢姆岛	丹麦		Illumø
伊尔布罗	丹麦		llbro
伊尔斯考	丹麦		Ilskov
伊杜姆	丹麦		Idum
伊森瓦	丹麦		Isenvad
伊泽斯楚普	丹麦		Idestrup
伊瑟湾	丹麦		Isefjord
伊瑟角	丹麦		Issehoved
伦堡	丹麦		Lønborg
伦德	丹麦		Rønde / Lundø
伦斯	丹麦		Rens
伦斯楚普	丹麦		Lønstrup
伦杜姆	丹麦		Lundum
伦比	丹麦		Lundby
伦比约	丹麦		Rønbjerg
伦讷	丹麦		Rønne / Lunde
伦讷堡	丹麦		Lundeborg
伦讷斯考	丹麦		Lunderskov
伦诺讷	丹麦		Renderne
伯乌灵比约	丹麦		Bøvlingbjerg
伯卢姆	丹麦		Børglum
伯斯楚普	丹麦		Bøstrup
伯灵	丹麦		Bølling
伯特	丹麦		Bøtø
伯科普	丹麦		Børkop
克伯莱乌	丹麦		Købelev
克利姆	丹麦		Klim
克利特默勒	丹麦		Klitmøller
克努斯半岛	丹麦		Knudshoved
克努斯角	丹麦		Knudshoved
克厄	丹麦		Køge
克厄湾	丹麦		Køge Bugt
克尔凯	丹麦		Kølkær
克尔斯楚普	丹麦		Kølstrup
克拉克灵	丹麦		Klakring
克拉厄奈斯	丹麦		Kragenæs
克拉厄隆	丹麦		Kragelund
克旺	丹麦		Kvong
克林特基克	丹麦		Klinte Kirke
克沃宁	丹麦		Kvorning
克洛堡	丹麦		Klovborg
克洛斯特海泽林地	丹麦		Klosterhede Plantage
克罗斯伯勒	丹麦		Krogsbølle
克罗艾厄	丹麦		Krogager
克莱楚普	丹麦		Klejtrup
克诺森山	丹麦		Knøsen
克里克	丹麦		Krik
克里克湾	丹麦		Krik Vig
克里斯楚普	丹麦		Kristrup
克里斯蒂安堡	丹麦		Christiansborg
克里斯蒂安岛	丹麦		Christiansø
克里斯蒂安斯海泽	丹麦		Christianshede
克里斯蒂安斯费尔德	丹麦		Christiansfeld
克雷默	丹麦		Kregme
克韦克比	丹麦		Kværkeby
克韦恩德鲁普	丹麦		Kværndrup
兰莱乌	丹麦		Randlev
兰讷	丹麦		Landet
兰讷斯	丹麦		Randers
兰讷斯湾	丹麦		Randers Fd.
兴厄	丹麦		Hinge
内克瑟	丹麦		Neksø
内克瑟尔岛	丹麦		Nekselø
内斯	丹麦		Nees
凡岛	丹麦		Fanø
凯勒湾	丹麦		Kalø Vig
凯勒鲁普	丹麦		Kjellerup
凯厄鲁普	丹麦		Kagerup
凯奈斯	丹麦		Kegnæs
凯尔夫斯隆	丹麦		Kalvslund
凯尔斯楚普	丹麦		Kelstrup
凯尔比	丹麦		Keldby
凯尔沃海沃	丹麦		Kalvehave
凯尔瑟角	丹麦		Kalsenakke
凯廷	丹麦		Ketting
凯廷厄	丹麦		Kettinge
凯斯楚普	丹麦		Kastrup
凯斯楚普机场〈哥本哈根〉	丹麦		Kastrup Airport
凯斯特比约	丹麦		Kastbjerg
凯特明讷	丹麦		Kerteminde
凯特楚普	丹麦		Kattrup
凯隆堡	丹麦		Kalundborg
凯隆堡湾	丹麦		Kalundborg Fd.
凯鲁姆	丹麦		Kaerum
切勒	丹麦		Tjele
切勒堡	丹麦		Tjaereborg
切勒比	丹麦		Tjaereby
切勒长湖	丹麦		Tjele Langsø
利勒河	丹麦		Lilleå
利姆水道	丹麦		Limfjorden
利尔斯特兰	丹麦		Lildstrand
利沃湾	丹麦		Livø Bredning
利瑟莱厄	丹麦		Liseleje
利诺	丹麦		Linå
利默	丹麦		Lihme
加伯尔	丹麦		Gabøl
加尔斯泰兹	丹麦		Galsted
加尔滕	丹麦		Galten
加德比约	丹麦		Gadbjerg
加苏姆	丹麦		Gassum
劳尔比约	丹麦		Laurbjerg
劳恩斯湾	丹麦		Lovns Bredning
勒兹凯斯布罗	丹麦		Rødkærsbro
勒兹比	丹麦		Rødby
勒兹比港	丹麦		Rødby Havn
勒兹沙洲	丹麦		Rødsand
