# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

阿贝	Abbe	环形山、坑
阿贝尔	Abel	环形山、坑
阿波罗	Apollo	环形山、坑
阿尔德	Alder	环形山、坑
阿方索	Alphonsus	环形山、坑
阿伏伽德罗	Avogadro	环形山、坑
阿基米德	Archimedes	环形山、坑
阿廖欣	Alekhin	环形山、坑
阿蒙森	Amundsen	环形山、坑
阿姆斯特朗	Armstrong	环形山、坑
阿那克西米尼	Anaximenes	环形山、坑
阿什布鲁克	Ashbrook	环形山、坑
阿特拉斯	Atlas	环形山、坑
埃尔米特	Hermite	环形山、坑
埃姆登	Emden	环形山、坑
埃斯诺-佩尔蒂埃	Esnault-Pelterie	环形山、坑
艾肯	Aitken	环形山、坑
爱迪生	Edison	环形山、坑
爱丁顿	Eddington	环形山、坑
爱因斯坦	Einstein	环形山、坑
安德森	Anderson	环形山、坑
安斯加尔	Ansgarius	环形山、坑
奥本海默	Oppenheimer	环形山、坑
奥尔德林	Aldrin	环形山、坑
奥尔登	Alden	环形山、坑
奥尔科特	Olcott	环形山、坑
奥尔洛夫	Orlov	环形山、坑
奥斯特瓦尔德	Ostwald	环形山、坑
巴贝奇	Babbage	环形山、坑
巴布科克	Babcock	环形山、坑
巴尔末	Balmer	环形山、坑
巴甫洛夫	Pavlov	环形山、坑
巴罗	Barrow	环形山、坑
巴纳德	Barnard	环形山、坑
巴斯德	Pasteur	环形山、坑
巴塔尼	Albategnius	环形山、坑
巴伊	Bailly	环形山、坑
巴约	Baillaud	环形山、坑
白贝罗	Buys-Ballot	环形山、坑
柏拉图	Plato	环形山、坑
班廷	Banting	环形山、坑
鲍耶	Bolyai	环形山、坑
贝尔	Bell	环形山、坑
贝海姆	Behaim	环形山、坑
比拉	Biela	环形山、坑
比鲁尼	Al-Biruni	环形山、坑
毕达哥拉斯	Pythagoras	环形山、坑
别利科维奇	Bel'kovich	环形山、坑
波乔布特	Poczobutt	环形山、坑
玻尔	Bohr	环形山、坑
玻尔兹曼	Boltzmann	环形山、坑
伯德	Byrd	环形山、坑
伯克霍夫	Birkhoff	环形山、坑
伯克纳	Berkner	环形山、坑
伯明翰	Birmingham	环形山、坑
博斯	Bose	环形山、坑
布丰	Buffon	环形山、坑
布喇格	Bragg	环形山、坑
布莱克特	Blackett	环形山、坑
布劳威尔	Brouwer	环形山、坑
布里奇曼	Bridgman	环形山、坑
布利安生	Brianchon	环形山、坑
布森戈	Boussingault	环形山、坑
灿德尔	Tsander (Zander)	环形山、坑
查普尔	Chappell	环形山、坑
查普曼	Chapman	环形山、坑
达·芬奇	da Vinci	环形山、坑
达尔文	Darwin	环形山、坑
但丁	Dante	环形山、坑
道尔顿	Dalton	环形山、坑
德拜	Debye	环形山、坑
德拉鲁	De la Rue	环形山、坑
德朗达尔	Deslandres	环形山、坑
德里加尔斯基	Drygalski	环形山、坑
德林杰	Dellinger	环形山、坑
德扎尔格	Desargues	环形山、坑
笛卡儿	Descartes	环形山、坑
第谷	Tycho	环形山、坑
丢番图	Diophantus	环形山、坑
多普勒	Doppler	环形山、坑
厄缶	Eötvös	环形山、坑
恩底弥昂	Endymion	环形山、坑
法布里	Fabry	环形山、坑
法布里休斯	Fabricius	环形山、坑
法拉第	Faraday	环形山、坑
范德格拉夫	Van de Graaff	环形山、坑
范德瓦耳斯	Van der Waals	环形山、坑
范托夫	van't Hoff	环形山、坑
菲利普斯	Phillips	环形山、坑
斐索	Fizeau	环形山、坑
费米	Fermi	环形山、坑
费斯曼	Fersman	环形山、坑
费希纳	Fechner	环形山、坑
冯·拜耳	von Baeyer	环形山、坑
冯·贝凯西	von Békésy	环形山、坑
冯·卡门	Von Kármán	环形山、坑
冯·诺伊曼	Von Neumann	环形山、坑
弗拉卡斯托罗	Fracastorius	环形山、坑
弗拉克	Vlacq	环形山、坑
弗拉马里翁	Flammarion	环形山、坑
弗莱明	Fleming	环形山、坑
弗里德曼	Fridman (Friedmann)	环形山、坑
弗罗因德利希	Freundlich	环形山、坑
弗洛伊德	Freud	环形山、坑
伏打	Volta	环形山、坑
福勒	Fowler	环形山、坑
傅立叶	Fourier	环形山、坑
富兰克林	Franklin	环形山、坑
盖奥特	Guyot	环形山、坑
高斯	Gauss	环形山、坑
戈达德	Goddard	环形山、坑
哥白尼	Copernicus	环形山、坑
哥伦布	Colombo	环形山、坑
格拉西莫维奇	Gerasimovich	环形山、坑
格里马尔迪	Grimaldi	环形山、坑
格特纳	Gärtner	环形山、坑
谷登堡	Gutenberg	环形山、坑
哈勃	Hubble	环形山、坑
哈恩	Hahn	环形山、坑
哈金斯	Huggins	环形山、坑
哈雷	Halley	环形山、坑
哈特维希	Hartwig	环形山、坑
哈泽	Hase	环形山、坑
海尔	Hale	环形山、坑
海因	Hayn	环形山、坑
海因修斯	Heinsius	环形山、坑
亥姆霍兹	Helmholtz	环形山、坑
亥维赛	Heaviside	环形山、坑
汉诺	Hanno	环形山、坑
豪森	Hausen	环形山、坑
赫·乔·威尔斯	H. G. Wells	环形山、坑
赫茨普龙	Hertzsprung	环形山、坑
赫卡泰奥斯	Hecataeus	环形山、坑
赫拉克利特	Heraclitus	环形山、坑
赫斯	Hess	环形山、坑
赫维留	Hevelius	环形山、坑
赫歇尔	Herschel	环形山、坑
赫胥黎	Huxley	环形山、坑
赫兹	Hertz	环形山、坑
洪堡	Humboldt	环形山、坑
胡克	Hooke	环形山、坑
华莱士	Wallace	环形山、坑
怀尔德	Wyld	环形山、坑
霍梅尔	Hommel	环形山、坑
基巴利契奇	Kibal'chich	环形山、坑
基勒	Keeler	环形山、坑
吉尔伯特	Gilbert	环形山、坑
纪尧姆	Guillaume	环形山、坑
季霍夫	Tikhov	环形山、坑
加加林	Gagarin	环形山、坑
伽伐尼	Galvani	环形山、坑
伽利略	Galilaei	环形山、坑
伽罗瓦	Galois	环形山、坑
伽莫夫	Gamow	环形山、坑
伽桑狄	Gassendi	环形山、坑
焦尔达诺·布鲁诺	Giordano Bruno	环形山、坑
焦耳	Joule	环形山、坑
杰克逊	Jackson	环形山、坑
杰勒德	Gerard	环形山、坑
金斯	Jeans	环形山、坑
居里	Curie	环形山、坑
居维叶	Cuvier	环形山、坑
卡巴纳	Cabannes	环形山、坑
卡尔平斯基	Karpinskiy	环形山、坑
卡诺	Carnot	环形山、坑
开普勒	Kepler	环形山、坑
凯库勒	Kekulé	环形山、坑
坎贝尔	Campbell	环形山、坑
康德	Kant	环形山、坑
康普顿	Compton	环形山、坑
康托尔	Cantor	环形山、坑
柯瓦列夫斯卡娅	Kovalevskaya	环形山、坑
柯西	Cauchy	环形山、坑
科赫	Koch	环形山、坑
科里奥利	Coriolis	环形山、坑
科罗廖夫	Korolev	环形山、坑
科马罗夫	Komarov	环形山、坑
克拉普罗特	Klaproth	环形山、坑
克莱奥迈季斯	Cleomedes	环形山、坑
克雷蒂安	Chrétien	环形山、坑
克斯特纳	Kästner	环形山、坑
库尔恰托夫	Kurchatov	环形山、坑
库克	Cook	环形山、坑
库仑	Coulomb	环形山、坑
拉比列维	Rabbi Levi	环形山、坑
拉彼鲁兹	La Pérouse	环形山、坑
拉格朗日	Lagrange	环形山、坑
拉加拉	Lagalla	环形山、坑
拉马克	Lamarck	环形山、坑
拉梅	Lamé	环形山、坑
拉蒙特	Lamont	环形山、坑
拉莫尔	Larmor	环形山、坑
拉姆齐	Ramsay	环形山、坑
拉瓦锡	Lavoisier	环形山、坑
莱布尼兹	Leibnitz	环形山、坑
兰姆	Lamb	环形山、坑
朗道	Landau	环形山、坑
朗格马克	Langemak	环形山、坑
朗缪尔	Langmuir	环形山、坑
劳厄	Laue	环形山、坑
勒夫	Love	环形山、坑
勒梅特	Lemaître	环形山、坑
勒让德	Legendre	环形山、坑
勒让蒂	Le Gentil	环形山、坑
雷乔蒙塔努斯	Regiomontanus	环形山、坑
楞次	Lents (Lenz)	环形山、坑
黎曼	Riemann	环形山、坑
李奥	Lyot	环形山、坑
李比希	Liebig	环形山、坑
李普曼	Lippmann	环形山、坑
里乔利	Riccioli	环形山、坑
利玛窦	Riccius	环形山、坑
利普斯基	Lipskiy	环形山、坑
列别捷夫	Lebedev	环形山、坑
列维－齐维塔	Levi-Civita	环形山、坑
列文虎克	Leeuwenhoek	环形山、坑
隆哥蒙塔努斯	Longomontanus	环形山、坑
卢克莱修	Lucretius	环形山、坑
卢瑟福	Rutherford	环形山、坑
伦德马克	Lundmark	环形山、坑
伦琴	Röntgen	环形山、坑
罗巴切夫斯基	Lobachevskiy	环形山、坑
罗伯茨	Roberts	环形山、坑
罗伯逊	Robertson	环形山、坑
罗卡	Rocca	环形山、坑
罗兰	Rowland	环形山、坑
罗蒙诺索夫	Lomonosov	环形山、坑
罗日杰斯特文斯基	Rozhdestvenskiy	环形山、坑
罗森贝格尔	Rosenberger	环形山、坑
罗素	Russell	环形山、坑
洛伦兹	Lorentz	环形山、坑
洛希	Roche	环形山、坑
马赫	Mach	环形山、坑
马可·波罗	Marco Polo	环形山、坑
马克苏托夫	Maksutov	环形山、坑
迈克耳孙	Michelson	环形山、坑
迈特纳	Meitner	环形山、坑
麦克劳林	McLaughlin	环形山、坑
麦克马思	McMath	环形山、坑
