# 国家地名信息库·极地地名
# https://dmfw.mca.gov.cn/polar.html
#
# 中文名称	国际通用名	实体类型

阿里山	Ali Shan	Hill
澳门岛	Aomen Dao	Island
八达岭	Bada Ling	Hill
八卦嘴	Bagua Zui	Spur
白龙沟	Bailong Gou	Gully
白龙坡	Bailong Po	Slope
白沙岛	Baisha Dao	Island
白仙岭	Baixian Ling	Mound
白云山	Baiyun Shan	Hill
半边山	Banbian Shan	Hill
半山角	Banshan Jiao	Point
宝石湖	Baoshi Hu	Lake
宝石角	Baoshi Jiao	Point
八仙岭	Baxian Ling	Ridge
八仙山	Baxian Shan	Hill
北部台地	Beibu Taidi	Upland
北部湾	Beibu Wan	Cove
北峰山	Beifeng Shan	Hill
贝壳岛	Beike Dao	Island
避风湾	Bifeng Wan	Cove
冰河	Bing He	River
冰湖	Bing Hu	Lake
冰缘谷地	Bingyuan Gudi	Gully
碧玉角	Biyu Jiao	Point
碧玉山	Biyu Shan	Hill
碧玉滩	Biyu Tan	Beach
藏秀山谷	Cangxiu Shangu	Valley
测绘山	Cehui Shan	Hill
测绘学者湾	Cehuixuezhe Wan	Cove
岔路口	Chalu Kou	Crossing
长河	Chang He	River
嫦娥湖	Chang'e Hu	Lake
长城湾	Changcheng Wan	Cove
长城岩	Changcheng Yan	Rock
朝阳沟	Chaoyang Gou	Gully
赤壁	Chi Bi	Cliff
楚天山	Chutian Shan	Hill
翠溪	Cui Xi	Stream
大巴山	Daba Shan	Hill
大别山	Dabie Shan	Hill
大地原点岩	Dadiyuandian Yan	Rock
大脚湖	Dajiao Hu	Lake
大梁山	Daliang Shan	Hill
大明湖	Daming Hu	Lake
丹凤岛	Danfeng Dao	Island
大唐谷地	Datang Gudi	Valley
登陆湾	Denglu Wan	Cove
地理学者湾	Dilixuezhe Wan	Cove
地质学者湾	Dizhixuezhe Wan	Cove
东绝壁	Dong Juebi	Bluff
东北冰缝区	Dongbei Bingfengqu	Glacier Slots
东北冰缘谷地	Dongbei Bingyuan Gudi	Valley
东长白山	Dongchangbai Shan	Hill
东堤碎石带	Dongdi Suishidai	Rocks
东平山	Dongping Shan	Hill
东坡石滩	Dongpo Shitan	Rocky Beach
东太平山	Dongtaiping Shan	Hill
洞庭湖	Dongting Hu	Lake
断魂崖	Duanhun Ya	Bluff
二号露岩	Erhao Luyan	Rock
二郎山	Erlang Shan	Hill
翡翠半岛	Feicui Bandao	Peninsula
风暴湾	Fengbao Wan	Cove
凤凰角	Fenghuang Jiao	Point
凤凰岭	Fenghuang Ling	Hill
伏虎岭	Fuhu Ling	Hill
芙蓉湖	Furong Hu	Lake
高山湖	Gaoshan Hu	Lake
公主湖	Gongzhu Hu	Lake
狗头山	Goutou Shan	Hill
长城站	Changcheng Zhan	Station
观景山	Guanjing Shan	Hill
观音山	Guanyin Shan	Hill
龟山	Gui Shan	Mound
龟背山	Guibei Shan	Hill
贵妃池	Guifei Chi	Pool 
鬼见愁崖	Guijianchou Ya	Cliff 
鬼门关峡	Guimenguan Xia	Gorge 
鼓浪屿	Gulang Yu	Islet
古石岩	Gushi Yan	Rock
海魂角	Haihun Jiao	Point
海鸭角	Haiya Jiao	Point
海燕湾	Haiyan Wan	Cove
海珠半岛	Haizhu Bandao	Peninsula
横断山谷	Hengduan Shangu	Valley
湖南山	Hu'nan Shan	Hill
花果山	Huaguo Shan	Hill
怀东雪脊	Huaidong Xueji	Glacial Ridge
黄金湾	Huangjin Wan	Cove
黄龙峡	Huanglong Xia	Narrows
黄石坡	Huangshi Po	Slope
华清山	Huaqing Shan	Hill
华山半岛	Huashan Bandao	Peninsula
化石山	Huashi Shan	Hill
华西半岛	Huaxi Bandao	Peninsula
华夏湾	Huaxia Wan	Cove
虎鼻岩	Hubi Yan	Rock
虎齿岩	Huchi Yan	Rock
虎雏角	Huchu Jiao	Point
蝴蝶岛	Hudie Dao	Island
葫芦湖	Hulu Hu	Lake
火焰山	Huoyan Shan	Hill
虎头半岛	Hutou Bandao	Peninsula
虎头岛	Hutou Dao	Island
虎头山	Hutou Shan	Hill
狐仙角	Huxian Jiao	Point
尖嘴	Jian Zui	Spur 
将军峰	Jiangjun Feng	Peak
角砾河	Jiaoli He	River
姐妹峰	Jiemei Feng	Peak
进步湖	Jinbu Hu	Lake
鲸峰	Jing Feng	Peak
鲸角	Jing Jiao	Point 
鲸湾	Jing Wan	Cove
镜泊湖	Jingbo Hu	Lake
井冈山	Jinggang Shan	Hill
惊魂崖	Jinghun Ya	Bluff
金鸡岭	Jinji Ling	Ridge
金银滩	Jinyin Tan	Beach
九龙半岛	Jiulong Bandao	Peninsula
酒泉河	Jiuquan He	River
九寨沟	Jiuzhai Gou	Gully
积雪沟	Jixue Gou	Gully
拒马河	Juma He	River
考察队员滩	Kaochaduiyuan Tan	Beach 
孔明山	Kongming Shan	Mount
昆仑群岛	Kunlun Qundao	Islands
昆仑站	Kunlun Zhan	Station
狼牙嘴	Langya Zui	Spur
老鹰嘴	Laoying Zui	Spur 
雷公山	Leigong Shan	Hill
馒头岛	Mantou Dao	Island
莲花峰	Lianhua Feng	Peak
莲花角	Lianhua Jiao	Point
莲花山	Lianhua Shan	Hill
六盘山地	Liupan Shandi	Hillock
龙门嘴	Longmen Zui	Spur
龙泉湖	Longquan Hu	Lake
龙潭湖	Longtan Hu	Lake
龙须沟	Longxu Gou	Gully 
龙岩角	Longyan Jiao	Point
龙岩山	Longyan Shan	Hill
龙羊峡	Longyang Xia	Narrows
庐山	Lu Shan	Hill
孪生岛	Luansheng Dao	Island
珞珈山	Luojia Shan	Hill
骆驼岛	Luotuo Dao	Island
马鞍山	Ma'an Shan	Hill
玛瑙滩	Ma'nao Tan	Beach
茅台山	Maotai Shan	Hill
梅花山地	Meihua Shandi	Hillock
朦胧地	Menglong Di	Land
蜜蜂屿	Mifeng Yu	Islet
迷魂岛	Mihun Dao	Island
明月山	Mingyue Shan	Hill
莫愁湖	Mochou Hu	Lake
墨镜湖	Mojing Hu	Lake
摩天角	Motian Jiao	Point
摩天岭	Motian Ling	Range
奶头角	Naitou Jiao	Point
南衡山	Nanheng Shan	Hill
南望峰	Nanwang Feng	Peak
南望山	Nanwang Shan	Hill
娘娘嘴	Niangniang Zui	Spur
牛鼻湖	Niubi Hu	Lake
牛肚湖	Niudu Hu	Lake
牛角半岛	Niujiao Bandao	Peninsula
牛郎山	Niulang Shan	Hill
牛头半岛	Niutou Bandao	Peninsula
牛眼湖	Niuyan Hu	Lake
牛仔湾	Niuzai Wan	Cove
牛嘴角	Niuzui Jiao	Point
盘龙山	Panlong Shan	Hill
跑道角	Paodao Jiao	Point
蓬莱半岛	Penglai Bandao	Peninsula
平湖	Ping Hu	Lake
平顶山	Pingding Shan	Hill
平顶岩柱	Pingding Yanzhu	Columns
平顶岩半岛	Pingdingyan Bandao	Peninsula
瓶子山	Pingzi Shan	Hill
鄱阳湖	Poyang Hu	Lake
普陀湾	Putuo Wan	Cove
企鹅岛	Qi'e Dao	Island
前山坡	Qianshan Po	Slope
栖凤岩	Qifeng Yan	Rock
清湖	Qing Hu	Lake
青城湖	Qingcheng Hu	Lake
青城山	Qingcheng Shan	Hill
青海湖	Qinghai Hu	Lake
青龙沟	Qinglong Gou	Gully
情人湖	Qingren Hu	Lake
清水河	Qingshui He	River
琼浆湖	Qiongjiang Hu	Lake
琼浆溪	Qiongjiang Xi	Stream
气象山	Qixiang Shan	Hill
气象学家湾	Qixiangxuejia Wan	Cove
七星岩	Qixing Yan	Rock
如来峰	Rulai Feng	Peak
