# 国家地名信息库·海底地名
# https://dmfw.mca.gov.cn/ocean.html
#
# 中文名称	国际通用名	所属海域
# chineseName	englishName	belongWaters

白驹平顶山	Baiju Guyot	太平洋
鸟巢海丘	Niaochao Hill	太平洋
彤弓海山群	Tonggong Seamounts	太平洋
徐福平顶山	Xufu Guyot	太平洋
日昇平顶山	Risheng Guyot	太平洋
日潭海丘	Ritan Hill	太平洋
月潭海脊	Yuetan Ridge	太平洋
维翰海山	Weihan Seamount	太平洋
魏源海山	Weiyuan Seamount	太平洋
潜鱼平顶山	Qianyu Guyot	太平洋
织女平顶山	Zhinyu Guyot	太平洋
牛郎平顶山	Niulang Guyot	太平洋
乔岳海山	Qiaoyue Seamount	印度洋
宵征海山	Xiaozheng Seamount	大西洋
凯风海山	Kaifeng Seamount	大西洋
采蘩海山	Caifan Seamount	大西洋
长庚海山	Changgeng Seamount	太平洋
启明海山	Qiming Seamount	太平洋
甘雨海山	Ganyu Seamount	太平洋
朱应海山	Zhuying Seamount	太平洋
维雨平顶山	Weiyu Guyot	太平洋
大成平顶山	Dacheng Guyot	太平洋
谷陵海山群	Guling Seamounts	太平洋
柔木海山群	Roumu Seamounts	太平洋
天作海山	Tianzuo Seamount	印度洋
客怿海山	Keyi Seamount	印度洋
楚茨海山	Chuci Seamount	太平洋
天祜海丘	Tianhu Knoll	太平洋
麾肱海丘	Huigong Hill	太平洋
阿池海脊	Echi Ridge	太平洋
张炳熹海脊	Zhangbingxi Ridge	太平洋
郑庭芳海山群	Zhengtingfang Seamounts	太平洋
巩珍海丘群	Gongzhen Knolls	太平洋
苏洵海丘	Suxun Knoll	太平洋
苏辙海丘	Suzhe Knoll	太平洋
苏轼海丘	Sushi Hill	太平洋
达奚通海丘	Daxitong Knoll	太平洋
茑萝海丘群	Niaoluo Hills	太平洋
卢照邻海丘	Luzhaolin Knoll	太平洋
骆宾王海丘	Luobinwang Knoll	太平洋
维罴海丘	Weipi Knoll	太平洋
王勃海丘	Wangbo Knoll	太平洋
杨炯海丘	Yangjiong Hill	太平洋
郑和海岭	Zhenghe Ridge	太平洋
蝴蝶海山	Hudie Seamount	太平洋
百合平顶山	Baihe Guyot	太平洋
颁首平顶山	Fenshou Guyot	太平洋
白华海丘	Baihua Hill	太平洋
依蒲海丘	Yipu Hill	太平洋
烈祖海山	Liezu Seamount	印度洋
万舞海山	Wanwu Seamount	印度洋
玉磬海山	Yuqing Seamount	印度洋
翠翘海山	Cuiqiao Seamount	太平洋
雎鸠海山	Jujiu Seamount	太平洋
槐序海脊	Huaixu Ridge	太平洋
首阳海山	Shouyang Seamount	太平洋
立春海山	Lichun Seamount	太平洋
惊蛰海山	JingZhe Seamount	太平洋
春分海丘	Chunfen Hill	太平洋
清明海山	Qingming Seamount	太平洋
谷雨海山	Guyu Seamount	太平洋
小满海丘	Xiaoman Hill	太平洋
芒种海盆	Mangzhong Basin	太平洋
汪大渊海山	Wangdayuan Seamount	印度洋
封演海山	Fengyan Seamount	印度洋
断桥海丘	Duanqiao Hill	印度洋
大糦海丘	Daxi Hill	印度洋
九皋平顶山	Jiugao Guyot	太平洋
