# 2023全国统计用区划代码和城乡划分代码（区县）
# ~~https://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2023/index.html~~
#
# 名称	级别	代码

北京市	省/直辖市	110000000000
市辖区	市级	110100000000
东城区	区级	110101000000
西城区	区级	110102000000
朝阳区	区级	110105000000
丰台区	区级	110106000000
石景山区	区级	110107000000
海淀区	区级	110108000000
门头沟区	区级	110109000000
房山区	区级	110111000000
通州区	区级	110112000000
顺义区	区级	110113000000
昌平区	区级	110114000000
大兴区	区级	110115000000
怀柔区	区级	110116000000
平谷区	区级	110117000000
密云区	区级	110118000000
延庆区	区级	110119000000
天津市	省/直辖市	120000000000
市辖区	市级	120100000000
和平区	区级	120101000000
河东区	区级	120102000000
河西区	区级	120103000000
南开区	区级	120104000000
河北区	区级	120105000000
红桥区	区级	120106000000
东丽区	区级	120110000000
西青区	区级	120111000000
津南区	区级	120112000000
北辰区	区级	120113000000
武清区	区级	120114000000
宝坻区	区级	120115000000
滨海新区	区级	120116000000
宁河区	区级	120117000000
静海区	区级	120118000000
蓟州区	区级	120119000000
河北省	省/直辖市	130000000000
石家庄市	市级	130100000000
市辖区	区级	130101000000
长安区	区级	130102000000
桥西区	区级	130104000000
新华区	区级	130105000000
井陉矿区	区级	130107000000
裕华区	区级	130108000000
藁城区	区级	130109000000
鹿泉区	区级	130110000000
栾城区	区级	130111000000
井陉县	区级	130121000000
正定县	区级	130123000000
行唐县	区级	130125000000
灵寿县	区级	130126000000
高邑县	区级	130127000000
深泽县	区级	130128000000
赞皇县	区级	130129000000
无极县	区级	130130000000
平山县	区级	130131000000
元氏县	区级	130132000000
赵县	区级	130133000000
石家庄高新技术产业开发区	区级	130171000000
石家庄循环化工园区	区级	130172000000
辛集市	区级	130181000000
晋州市	区级	130183000000
新乐市	区级	130184000000
唐山市	市级	130200000000
市辖区	区级	130201000000
路南区	区级	130202000000
路北区	区级	130203000000
古冶区	区级	130204000000
开平区	区级	130205000000
丰南区	区级	130207000000
丰润区	区级	130208000000
曹妃甸区	区级	130209000000
滦南县	区级	130224000000
乐亭县	区级	130225000000
迁西县	区级	130227000000
玉田县	区级	130229000000
河北唐山芦台经济开发区	区级	130271000000
唐山市汉沽管理区	区级	130272000000
唐山高新技术产业开发区	区级	130273000000
河北唐山海港经济开发区	区级	130274000000
遵化市	区级	130281000000
迁安市	区级	130283000000
滦州市	区级	130284000000
秦皇岛市	市级	130300000000
市辖区	区级	130301000000
海港区	区级	130302000000
山海关区	区级	130303000000
北戴河区	区级	130304000000
抚宁区	区级	130306000000
青龙满族自治县	区级	130321000000
昌黎县	区级	130322000000
卢龙县	区级	130324000000
秦皇岛市经济技术开发区	区级	130371000000
北戴河新区	区级	130372000000
邯郸市	市级	130400000000
市辖区	区级	130401000000
邯山区	区级	130402000000
丛台区	区级	130403000000
复兴区	区级	130404000000
峰峰矿区	区级	130406000000
肥乡区	区级	130407000000
永年区	区级	130408000000
临漳县	区级	130423000000
成安县	区级	130424000000
大名县	区级	130425000000
涉县	区级	130426000000
磁县	区级	130427000000
邱县	区级	130430000000
鸡泽县	区级	130431000000
广平县	区级	130432000000
馆陶县	区级	130433000000
魏县	区级	130434000000
曲周县	区级	130435000000
邯郸经济技术开发区	区级	130471000000
邯郸冀南新区	区级	130473000000
武安市	区级	130481000000
邢台市	市级	130500000000
市辖区	区级	130501000000
襄都区	区级	130502000000
信都区	区级	130503000000
任泽区	区级	130505000000
南和区	区级	130506000000
临城县	区级	130522000000
内丘县	区级	130523000000
柏乡县	区级	130524000000
隆尧县	区级	130525000000
宁晋县	区级	130528000000
巨鹿县	区级	130529000000
新河县	区级	130530000000
广宗县	区级	130531000000
平乡县	区级	130532000000
威县	区级	130533000000
清河县	区级	130534000000
临西县	区级	130535000000
河北邢台经济开发区	区级	130571000000
南宫市	区级	130581000000
沙河市	区级	130582000000
保定市	市级	130600000000
市辖区	区级	130601000000
竞秀区	区级	130602000000
莲池区	区级	130606000000
满城区	区级	130607000000
清苑区	区级	130608000000
徐水区	区级	130609000000
涞水县	区级	130623000000
阜平县	区级	130624000000
定兴县	区级	130626000000
唐县	区级	130627000000
高阳县	区级	130628000000
容城县	区级	130629000000
涞源县	区级	130630000000
望都县	区级	130631000000
安新县	区级	130632000000
易县	区级	130633000000
曲阳县	区级	130634000000
蠡县	区级	130635000000
顺平县	区级	130636000000
博野县	区级	130637000000
雄县	区级	130638000000
保定高新技术产业开发区	区级	130671000000
保定白沟新城	区级	130672000000
涿州市	区级	130681000000
定州市	区级	130682000000
安国市	区级	130683000000
高碑店市	区级	130684000000
张家口市	市级	130700000000
市辖区	区级	130701000000
桥东区	区级	130702000000
桥西区	区级	130703000000
宣化区	区级	130705000000
下花园区	区级	130706000000
万全区	区级	130708000000
崇礼区	区级	130709000000
张北县	区级	130722000000
康保县	区级	130723000000
沽源县	区级	130724000000
尚义县	区级	130725000000
蔚县	区级	130726000000
阳原县	区级	130727000000
怀安县	区级	130728000000
怀来县	区级	130730000000
涿鹿县	区级	130731000000
赤城县	区级	130732000000
张家口经济开发区	区级	130771000000
张家口市察北管理区	区级	130772000000
张家口市塞北管理区	区级	130773000000
承德市	市级	130800000000
市辖区	区级	130801000000
双桥区	区级	130802000000
双滦区	区级	130803000000
鹰手营子矿区	区级	130804000000
承德县	区级	130821000000
兴隆县	区级	130822000000
滦平县	区级	130824000000
隆化县	区级	130825000000
丰宁满族自治县	区级	130826000000
宽城满族自治县	区级	130827000000
围场满族蒙古族自治县	区级	130828000000
承德高新技术产业开发区	区级	130871000000
平泉市	区级	130881000000
沧州市	市级	130900000000
市辖区	区级	130901000000
新华区	区级	130902000000
运河区	区级	130903000000
沧县	区级	130921000000
青县	区级	130922000000
东光县	区级	130923000000
海兴县	区级	130924000000
盐山县	区级	130925000000
肃宁县	区级	130926000000
南皮县	区级	130927000000
吴桥县	区级	130928000000
献县	区级	130929000000
孟村回族自治县	区级	130930000000
河北沧州经济开发区	区级	130971000000
沧州高新技术产业开发区	区级	130972000000
沧州渤海新区	区级	130973000000
泊头市	区级	130981000000
任丘市	区级	130982000000
黄骅市	区级	130983000000
河间市	区级	130984000000
廊坊市	市级	131000000000
市辖区	区级	131001000000
安次区	区级	131002000000
广阳区	区级	131003000000
固安县	区级	131022000000
永清县	区级	131023000000
香河县	区级	131024000000
大城县	区级	131025000000
文安县	区级	131026000000
大厂回族自治县	区级	131028000000
廊坊经济技术开发区	区级	131071000000
霸州市	区级	131081000000
三河市	区级	131082000000
衡水市	市级	131100000000
市辖区	区级	131101000000
桃城区	区级	131102000000
冀州区	区级	131103000000
枣强县	区级	131121000000
武邑县	区级	131122000000
武强县	区级	131123000000
饶阳县	区级	131124000000
安平县	区级	131125000000
故城县	区级	131126000000
景县	区级	131127000000
阜城县	区级	131128000000
河北衡水高新技术产业开发区	区级	131171000000
衡水滨湖新区	区级	131172000000
深州市	区级	131182000000
山西省	省/直辖市	140000000000
太原市	市级	140100000000
市辖区	区级	140101000000
小店区	区级	140105000000
迎泽区	区级	140106000000
杏花岭区	区级	140107000000
尖草坪区	区级	140108000000
万柏林区	区级	140109000000
晋源区	区级	140110000000
清徐县	区级	140121000000
阳曲县	区级	140122000000
娄烦县	区级	140123000000
山西转型综合改革示范区	区级	140171000000
古交市	区级	140181000000
大同市	市级	140200000000
市辖区	区级	140201000000
新荣区	区级	140212000000
平城区	区级	140213000000
云冈区	区级	140214000000
云州区	区级	140215000000
阳高县	区级	140221000000
天镇县	区级	140222000000
广灵县	区级	140223000000
灵丘县	区级	140224000000
浑源县	区级	140225000000
左云县	区级	140226000000
山西大同经济开发区	区级	140271000000
阳泉市	市级	140300000000
市辖区	区级	140301000000
城区	区级	140302000000
矿区	区级	140303000000
郊区	区级	140311000000
平定县	区级	140321000000
盂县	区级	140322000000
长治市	市级	140400000000
市辖区	区级	140401000000
潞州区	区级	140403000000
上党区	区级	140404000000
屯留区	区级	140405000000
潞城区	区级	140406000000
襄垣县	区级	140423000000
平顺县	区级	140425000000
黎城县	区级	140426000000
壶关县	区级	140427000000
长子县	区级	140428000000
武乡县	区级	140429000000
沁县	区级	140430000000
沁源县	区级	140431000000
晋城市	市级	140500000000
市辖区	区级	140501000000
城区	区级	140502000000
沁水县	区级	140521000000
阳城县	区级	140522000000
陵川县	区级	140524000000
泽州县	区级	140525000000
高平市	区级	140581000000
朔州市	市级	140600000000
市辖区	区级	140601000000
朔城区	区级	140602000000
平鲁区	区级	140603000000
山阴县	区级	140621000000
应县	区级	140622000000
右玉县	区级	140623000000
山西朔州经济开发区	区级	140671000000
怀仁市	区级	140681000000
晋中市	市级	140700000000
市辖区	区级	140701000000
榆次区	区级	140702000000
太谷区	区级	140703000000
榆社县	区级	140721000000
左权县	区级	140722000000
和顺县	区级	140723000000
昔阳县	区级	140724000000
寿阳县	区级	140725000000
祁县	区级	140727000000
平遥县	区级	140728000000
灵石县	区级	140729000000
介休市	区级	140781000000
运城市	市级	140800000000
市辖区	区级	140801000000
盐湖区	区级	140802000000
临猗县	区级	140821000000
万荣县	区级	140822000000
闻喜县	区级	140823000000
稷山县	区级	140824000000
新绛县	区级	140825000000
绛县	区级	140826000000
垣曲县	区级	140827000000
夏县	区级	140828000000
平陆县	区级	140829000000
芮城县	区级	140830000000
永济市	区级	140881000000
河津市	区级	140882000000
忻州市	市级	140900000000
市辖区	区级	140901000000
忻府区	区级	140902000000
定襄县	区级	140921000000
五台县	区级	140922000000
代县	区级	140923000000
繁峙县	区级	140924000000
宁武县	区级	140925000000
静乐县	区级	140926000000
神池县	区级	140927000000
五寨县	区级	140928000000
岢岚县	区级	140929000000
河曲县	区级	140930000000
保德县	区级	140931000000
偏关县	区级	140932000000
五台山风景名胜区	区级	140971000000
原平市	区级	140981000000
临汾市	市级	141000000000
市辖区	区级	141001000000
尧都区	区级	141002000000
曲沃县	区级	141021000000
翼城县	区级	141022000000
襄汾县	区级	141023000000
洪洞县	区级	141024000000
古县	区级	141025000000
安泽县	区级	141026000000
浮山县	区级	141027000000
吉县	区级	141028000000
乡宁县	区级	141029000000
大宁县	区级	141030000000
隰县	区级	141031000000
永和县	区级	141032000000
蒲县	区级	141033000000
汾西县	区级	141034000000
侯马市	区级	141081000000
霍州市	区级	141082000000
吕梁市	市级	141100000000
市辖区	区级	141101000000
离石区	区级	141102000000
文水县	区级	141121000000
交城县	区级	141122000000
兴县	区级	141123000000
临县	区级	141124000000
柳林县	区级	141125000000
石楼县	区级	141126000000
岚县	区级	141127000000
方山县	区级	141128000000
中阳县	区级	141129000000
交口县	区级	141130000000
孝义市	区级	141181000000
汾阳市	区级	141182000000
内蒙古自治区	省/直辖市	150000000000
呼和浩特市	市级	150100000000
市辖区	区级	150101000000
新城区	区级	150102000000
回民区	区级	150103000000
玉泉区	区级	150104000000
赛罕区	区级	150105000000
土默特左旗	区级	150121000000
托克托县	区级	150122000000
和林格尔县	区级	150123000000
清水河县	区级	150124000000
武川县	区级	150125000000
呼和浩特经济技术开发区	区级	150172000000
包头市	市级	150200000000
市辖区	区级	150201000000
东河区	区级	150202000000
昆都仑区	区级	150203000000
青山区	区级	150204000000
石拐区	区级	150205000000
白云鄂博矿区	区级	150206000000
九原区	区级	150207000000
土默特右旗	区级	150221000000
固阳县	区级	150222000000
达尔罕茂明安联合旗	区级	150223000000
包头稀土高新技术产业开发区	区级	150271000000
乌海市	市级	150300000000
市辖区	区级	150301000000
海勃湾区	区级	150302000000
海南区	区级	150303000000
乌达区	区级	150304000000
赤峰市	市级	150400000000
市辖区	区级	150401000000
红山区	区级	150402000000
元宝山区	区级	150403000000
松山区	区级	150404000000
阿鲁科尔沁旗	区级	150421000000
巴林左旗	区级	150422000000
巴林右旗	区级	150423000000
林西县	区级	150424000000
克什克腾旗	区级	150425000000
翁牛特旗	区级	150426000000
喀喇沁旗	区级	150428000000
宁城县	区级	150429000000
敖汉旗	区级	150430000000
通辽市	市级	150500000000
市辖区	区级	150501000000
科尔沁区	区级	150502000000
科尔沁左翼中旗	区级	150521000000
科尔沁左翼后旗	区级	150522000000
开鲁县	区级	150523000000
库伦旗	区级	150524000000
奈曼旗	区级	150525000000
扎鲁特旗	区级	150526000000
通辽经济技术开发区	区级	150571000000
霍林郭勒市	区级	150581000000
鄂尔多斯市	市级	150600000000
市辖区	区级	150601000000
东胜区	区级	150602000000
康巴什区	区级	150603000000
达拉特旗	区级	150621000000
准格尔旗	区级	150622000000
鄂托克前旗	区级	150623000000
鄂托克旗	区级	150624000000
杭锦旗	区级	150625000000
乌审旗	区级	150626000000
伊金霍洛旗	区级	150627000000
呼伦贝尔市	市级	150700000000
市辖区	区级	150701000000
海拉尔区	区级	150702000000
扎赉诺尔区	区级	150703000000
阿荣旗	区级	150721000000
莫力达瓦达斡尔族自治旗	区级	150722000000
鄂伦春自治旗	区级	150723000000
鄂温克族自治旗	区级	150724000000
陈巴尔虎旗	区级	150725000000
新巴尔虎左旗	区级	150726000000
新巴尔虎右旗	区级	150727000000
满洲里市	区级	150781000000
牙克石市	区级	150782000000
扎兰屯市	区级	150783000000
额尔古纳市	区级	150784000000
根河市	区级	150785000000
巴彦淖尔市	市级	150800000000
市辖区	区级	150801000000
临河区	区级	150802000000
五原县	区级	150821000000
磴口县	区级	150822000000
乌拉特前旗	区级	150823000000
乌拉特中旗	区级	150824000000
乌拉特后旗	区级	150825000000
杭锦后旗	区级	150826000000
