# 中國歷代人物傳記資料庫（CBDB）
# https://projects.iq.harvard.edu/chinesecbdb/
# 原始資料為《明代登科錄彙編》及《天一閣藏明代科舉錄選刊.登科錄》，包含明朝52科的進士登科錄，共收錄14,116名進士信息。 
#
# 姓名	姓	名	字

吳伯宗	吳	伯宗	伯宗
郭翀	郭	翀	子翔
吳公達	吳	公達	致中
楊自立	楊	自立	子吾
趙友能	趙	友能	宗典
仇敬	仇	敬	仲立
丁輔	丁	輔	允正
吳鏞	吳	鏞	金川
黃載	黃	載	文傳
王敬中	王	敬中	
陳信之	陳	信之	信之
劉寅	劉	寅	拱辰
杜濬	杜	濬	亮之
王諫	王	諫	惟允
熊誼	熊	誼	判賓
盧貺	盧	貺	仲賓
周子諒	周	子諒	灌夫
毛煜	毛	煜	施伯
王誼	王	誼	翰英
趙旅	趙	旅	正己
姚宗敬	姚	宗敬	宗敬
王玄範	王	玄範	彥文
葉孝友	葉	孝友	孝友
尹宗伊	尹	宗伊	
金濤	金	濤	仲恬
岑鵬	岑	鵬	搏霄
李升	李	升	仲高
賈敏	賈	敏	克勤
梁臨	梁	臨	
聶鉉	聶	鉉	伯器
屠養浩	屠	養浩	
鄭廷實	鄭	廷實	禮賢
趙鑄	趙	鑄	子顏
張正一	張	正一	子明
洪燁	洪	燁	仲和
包莘	包	莘	尹耕
危孝先	危	孝先	簡言
馮麒	馮	麒	孟良
劉光先	劉	光先	鳴善
郭隣	郭	隣	
魏雲	魏	雲	雲從
魏益	魏	益	
張壽齡	張	壽齡	
林器之	林	器之	
趙實中	趙	實中	
俞友仁	俞	友仁	
王誠	王	誠	允誠
康縉	康	縉	宗正
聞伯異	聞	伯異	
童尹	童	尹	廷正
林信孚	林	信孚	信孚
陳執中	陳	執中	執中
林文壽	林	文壽	仲仁
王夏	王	夏	輔炎
黃綬	黃	綬	伯固
齊季舒	齊	季舒	
劉傑	劉	傑	
陳玄	陳	玄	
鄭潛	鄭	潛	
陳章應	陳	章應	敏達
彭泰	彭	泰	文淵
嚴植	嚴	植	景周
李素	李	素	
李初	李	初	
陳彝	陳	彝	原善
胡汝雨	胡	汝雨	均濟
管貞	管	貞	原清 
吳權	吳	權	巽行
張鶴	張	鶴	
劉伯欽	劉	伯欽	子敬
葉砥	葉	砥	屢道
林嘉	林	嘉	
劉鑄	劉	鑄	季冶
陳拱	陳	拱	叔向
何文信	何	文信	孟誠
傅晧	傅	晧	
韓守正	韓	守正	
何德舉	何	德舉	
王砥	王	砥	
馮本	馮	本	
林德亨	林	德亨	
林大同	林	大同	
爾朱欽	爾	朱欽	敬伯
伍洪	伍	洪	伯弘
鄧原忠	鄧	原忠	
蔡士實	蔡	士實	文光
葉德潛	葉	德潛	孔昭
王錫	王	錫	
梁安	梁	安	
楊文	楊	文	貫道
王中	王	中	
胡澄	胡	澄	以道
時執亮	時	執亮	
柳汝舟	柳	汝舟	處蘭
張堂	張	堂	
胡黻	胡	黻	
孫卓	孫	卓	
智審	智	審	
喻文龍	喻	文龍	叔雲
黃德潤	黃	德潤	端玉
丁時敏	丁	時敏	時敏
董時亮	董	時亮	彥功
陳韶	陳	韶	
胡宗禧	胡	宗禧	
余集	余	集	孟浩
劉中	劉	中	
周潼	周	潼	
薛大昉	薛	大昉	
鍾霆	鍾	霆	伯震
劉長輔	劉	長輔	孟質
鄭貞仲	鄭	貞仲	
黃鉞	黃	鉞	宗武
何子海	何	子海	
袁泰	袁	泰	
張必秦	張	必秦	子通
秦亨	秦	亨	
晉罡	晉	罡	
鄭鈞	鄭	鈞	
趙斗南	趙	斗南	
趙松	趙	松	
柯潛	柯	潛	孟時
劉昇	劉	昇	幼顯
王㒜	王	㒜	廷貴
吳匯	吳	匯	會川
周輿	周	輿	廷參
戚瀾	戚	瀾	文湍
王祐	王	祐	宗吉
林璟	林	璟	繼文
宋旻	宋	旻	弘澤
牟俸	牟	俸	公爵
吳鎡	吳	鎡	時可
陳杰	陳	杰	公佐
張永	張	永	邵齡
朱鏞	朱	鏞	廷用
吳遵	吳	遵	時極
袁凱	袁	凱	舜舉
吳璘	吳	璘	廷潤
吳智	吳	智	宏哲
趙謐	趙	謐	子安
桂山	桂	山	本寧
胡深	胡	深	本淵
孫仁	孫	仁	世榮
劉春	劉	春	緝昭
孫珉	孫	珉	宗理
呂晟	呂	晟	景熙
林鶚	林	鶚	一鶚
江彤	江	彤	而莊
鄭宏	鄭	宏	克寬
沈性	沈	性	士彛
盛昹	盛	昹	允高
余子俊	余	子俊	士英
唐瑜	唐	瑜	廷美
陳敬	陳	敬	體清
唐泰	唐	泰	時雍
黃深	黃	深	仲淵
李秉彜	李	秉彜	好德
汪浩	汪	浩	弘初
周監	周	監	文郁
王獻	王	獻	惟臣
張璿	張	璿	宗舜
李惠	李	惠	廷吉
劉子肅	劉	子肅	敬之
和維	和	維	振綱
周必兆	周	必兆	必兆
吳福	吳	福	天錫
李觀	李	觀	用賓
成凱	成	凱	舜卿
劉宣	劉	宣	紹和
朱華 	朱	華 	文輝
李鈞	李	鈞	許國
俞欽	俞	欽	振恭
胡欽	胡	欽	欽承
王琳	王	琳	充獻
相傑	相	傑	世英
陳嘉猷	陳	嘉猷	世用
陳僎	陳	僎	汝翼
楊守陳	楊	守陳	維新
張璣	張	璣	宗璿
陶復	陶	復	仕亨
鄧順	鄧	順	行健
周達	周	達	翔鳳
歐陽復	歐陽	復	時亨
夏塤	夏	塤	宗成
高明	高	明	上達
江玭	江	玭	用良
羅洪	羅	洪	從範
章格	章	格	韶鳳
周澂	周	澂	伯淵
張海	張	海	朝宗
陳鴻漸	陳	鴻漸	廷儀
顧珣	顧	珣	文之
潘本愚	潘	本愚	克明
陸昹	陸	昹	孟昭
童軒	童	軒	志昂
童緣	童	緣	大璋
李毓	李	毓	廷秀
鄧明	鄧	明	允哲
陳蕙	陳	蕙	秀儀
曹衡	曹	衡	宗衡
李瓛	李	瓛	世望
彭烈	彭	烈	肇烈
周欽	周	欽	守敬
王祥	王	祥	元吉
王越	王	越	世昌
吳琛	吳	琛	輿璧
張業	張	業	振烈
劉敷	劉	敷	叔榮
徐安行	徐	安行	允端
嚴誠	嚴	誠	克誠
尤瓉	尤	瓉	貴之
伍善	伍	善	元吉
湯懋	湯	懋	攻勉
蔡昇	蔡	昇	孟暘
陳顥	陳	顥	□□
朱銳	朱	銳	廷鉞
莫灝	莫	灝	景淵
歐賢	歐	賢	宗德
高禋	高	禋	惟寅
劉儉	劉	儉	宗禹
胡鍊	胡	鍊	允智
鄭林	鄭	林	伯森
樊冕	樊	冕	景瞻
林孔滋	林	孔滋	孔滋
游明	游	明	大昇
丁信	丁	信	誠之
陳善	陳	善	崇謙
戚寧	戚	寧	永康
郭本	郭	本	道允
程宗	程	宗	源伊
吳誠	吳	誠	尚忠
劉彞	劉	彞	惇倫 
楊青	楊	青	士昂
劉昭 	劉	昭 	克明
陽顯嘉	陽	顯嘉	謙亨
嚴憲	嚴	憲	廷章
許倫	許	倫	宗彛
楊福	楊	福	孟禧
劉紀	劉	紀	理之
王佐 	王	佐 	彥弼
岳璿	岳	璿	文璣
張鵬	張	鵬	騰霄
龍需	龍	需	邦舉
盛顒	盛	顒	時望
劉觀	劉	觀	廷賓
趙瑛	趙	瑛	玉輝
閻鐸	閻	鐸	文振
邵思祥	邵	思祥	夢麟
楊璡	楊	璡	文玉
李燁	李	燁	宗文
歐陽熙	歐陽	熙	時熙
李牧	李	牧	克治
郭紀	郭	紀	彥理
吳立	吳	立	大本 
鄭紘	鄭	紘	士冕
李勝	李	勝	惟吉
葉鸞 	葉	鸞 	應和
吳琛	吳	琛	景良
邵能	邵	能	舜賓
靳敏	靳	敏	時遜
羅晟	羅	晟	公亮
郝淵之	郝	淵之	希顏
龔謙	龔	謙	廷益
繆樸 	繆	樸 	尚質
李直 	李	直 	行斐
章亮	章	亮	文煥
楊榮	楊	榮	以仁
張瑄 	張	瑄 	廷圭
婁濬	婁	濬	潛夫
張信	張	信	成之
李宏	李	宏	有容
金文 	金	文 	尚德
謝燫	謝	燫	世彰
鍾清 	鍾	清 	景清
白良輔	白	良輔	舜臣
李衍 	李	衍 	文盛
章規	章	規	守規
田斌	田	斌	尚賢
何漢宗	何	漢宗	邦本
楊學	楊	學	文斆
洪弼	洪	弼	士直
秦紘	秦	紘	世纓
辛訪	辛	訪	咨道
王惟善	王	惟善	惟善
潘鏞	潘	鏞	克鳴
章表	章	表	翔鳳
楊昹	楊	昹	永明
項倬	項	倬	所洪
黃暉	黃	暉	有融
張瑄 	張	瑄 	廷璽
姚旭	姚	旭	景暘
王儀	王	儀	叔章
汪清 	汪	清 	源潔
王智	王	智	迁鑑
彭信	彭	信	中孚
莊歙	莊	歙	尚源
鄭佑	鄭	佑	孔佐
丁玘 	丁	玘 	文珩
李人儀	李	人儀	士傑
鍾同	鍾	同	世亰
應欽	應	欽	志欽
莊昇	莊	昇	景暘
鄭冕	鄭	冕	宜端
曹景	曹	景	廷彰
董廷圭	董	廷圭	國器
馬文升	馬	文升	負圖
徐廷章 	徐	廷章 	公器
劉泰 	劉	泰 	世亨
江朝宗	江	朝宗	東之
項愫	項	愫	思誠
吳綽	吳	綽	主寬
周清	周	清	本澄
鄧秀	鄧	秀	鍾英
張馵	張	馵	行敏
左興	左	興	傑夫
沈珒	沈	珒	公貴
葉巒	葉	巒	峻甫
鄭時	鄭	時	宗良
黃重	黃	重	金重 
趙銘	趙	銘	自新
張寬	張	寬	周弘
周斌	周	斌	國用
孫賢	孫	賢	舜卿
徐溥	徐	溥	時用
徐鎋	徐	鎋	文軾
丘濬	丘	濬	仲深
易貴	易	貴	天爵
程景雲	程	景雲	漢章
胡榮	胡	榮	希仁
陳琳	陳	琳	文璧
康麟	康	麟	文瑞
王鉉	王	鉉	廷器
黃謹	黃	謹	廷儀
謝綬	謝	綬	維章
李清	李	清	希獻
王朝遠	王	朝遠	朝遠
高宗本	高	宗本	茂卿
嚴端	嚴	端	克正
孔公恂	孔	公恂	宗文
史瓘	史	瓘	德輝
張寧	張	寧	靖之
耿裕	耿	裕	好問
徐鑾	徐	鑾	用和
劉洪	劉	洪	文裕
孫輝	孫	輝	德昭
彭華	彭	華	彥實
劉釪	劉	釪	仗和
陳龍	陳	龍	元亮
杜宥	杜	宥	叔寬
張畹	張	畹	茂蘭
黃隆	黃	隆	自立
張黼	張	黼	良甫
張祚	張	祚	永錫
謝士元	謝	士元	仲仁
顧瑾	顧	瑾	季琮
章瑄	章	瑄	用輝
盧秩	盧	秩	崇績
曾會	曾	會	以文
浦鏞	浦	鏞	廷用
朱倫	朱	倫	迪彝
黎永明	黎	永明	光亨
閻本	閻	本	宗元
苗灝	苗	灝	勢遠
魏銘	魏	銘	日新
程鑑	程	鑑	孔昭
王穀	王	穀	萬石
歐廉	歐	廉	仕潔
蔣紱	蔣	紱	洪章
陳璧	陳	璧	仲奎
李芳	李	芳	本春
劉瑄	劉	瑄	廷璧
楊集	楊	集	浩然
王齊	王	齊	內肅
宋榮	宋	榮	弘仁
范鏞	范	鏞	彥聲
許誾	許	誾	和仲
牛綸	牛	綸	大經
林思承	林	思承	思承
孟勳	孟	勳	守謙
何琮	何	琮	文璧
費廣	費	廣	孟博
伍方	伍	方	公矩
卓天錫	卓	天錫	純嘏
黃會	黃	會	吉劭
焦顯	焦	顯	文明
杜謙	杜	謙	益之
屈銓	屈	銓	天衡
林時讓	林	時讓	純禮
吳禎	吳	禎	從善
何喬新	何	喬新	廷秀
莊敬	莊	敬	克誠
魯能	魯	能	千之
陳瑄	陳	瑄	廷獻
楊緯	楊	緯	宗武
蕭青	蕭	青	廷翠
曾唯	曾	唯	子一
陳雲鶚	陳	雲鶚	翔之
趙文博	趙	文博	守約
王衡	王	衡	文璿
邵銅	邵	銅	振聲
黃紀	黃	紀	憲邦
吳節	吳	節	汝節
陳雲	陳	雲	時望
侯瓚	侯	瓚	奉璋
魯崇志	魯	崇志	崇志
郁文博	郁	文博	文博
馬進	馬	進	惟學
李曰良	李	曰良	朝佐
謝省	謝	省	世脩
高舉	高	舉	汝賢
呂益	呂	益	伯謙
賈奭	賈	奭	希召
黃紳	黃	紳	朝儀
嚴洤	嚴	洤	宗源
塗淮	塗	淮	達夫
沈富	沈	富	好禮
趙昌	趙	昌	鳴盛
楊琚	楊	琚	朝用
董琳	董	琳	廷瑞
葉萱	葉	萱	廷茂
宋有文	宋	有文	顯章
桂琛	桂	琛	獻之
尹直	尹	直	正言
鄭珪	鄭	珪	叔瀾
劉溥	劉	溥	濬淵
鄭瑛	鄭	瑛	邦潤
李宗學	李	宗學	致用
吳顯	吳	顯	文謨
周瑛	周	瑛	廷潤
劉倫正	劉	倫正	理敘
陳貴	陳	貴	秉良
傅韶	傅	韶	德音
袁潤	袁	潤	習德
楊恕	楊	恕	尚忠
趙博	趙	博	克周
范文	范	文	德彰
郭仲珣	郭	仲珣	叔玉
江勛	江	勛	元勛
汪霖	汪	霖	潤夫
單昂	單	昂	廷舉
豐載	豐	載	持厚
龍晉	龍	晉	遵敘
顏正	顏	正	廷表
徐海	徐	海	德容
楊釜	楊	釜	受□
周琦	周	琦	宗玉
劉永通	劉	永通	弘濟
鄭文奎	鄭	文奎	永章
李木	李	木	時升
鍾珹	鍾	珹	德卿
劉璧	劉	璧	次瑋
唐彬	唐	彬	質夫
李敏	李	敏	公勉
錢源	錢	源	有本
崔忠	崔	忠	誠之
潘傑	潘	傑	士英
胡福	胡	福	百順
徐毅	徐	毅	士弘
王常	王	常	正倫
李褒	李	褒	濟美
徐宗	徐	宗	大本
熊俊	熊	俊	子英
錢俊	錢	俊	時乂
張浩	張	浩	養正
王臣	王	臣	公輔
陳政	陳	政	宣之
劉顯	劉	顯	光祖
李益	李	益	景賢
寧珍	寧	珍	伯珍
王春	王	春	載陽
胡德盛	胡	德盛	尚愚
曾清	曾	清	本澄
翟政	翟	政	以德
方逵	方	逵	景由
錢璡	錢	璡	廷珍
鄭華	鄭	華	思賢
夏璣	夏	璣	德乾
胡寬	胡	寬	有容
蔣昂	蔣	昂	用璋
鄭同	鄭	同	本初
王紀	王	紀	肇脩
勞鉞	勞	鉞	廷器
鄭岑	鄭	岑	子高
鄒永昌	鄒	永昌	慶夫
林雍	林	雍	萬容
孔鏞	孔	鏞	韶文
王鑑	王	鑑	彥昭
劉恕	劉	恕	寬仁
上泰	上	泰	志同
梁矩	梁	矩	叔方
馬聰	馬	聰	體哲
劉珂	劉	珂	尚珮
孫璚	孫	璚	廷玉
顏夔	顏	夔	士奇
王豫	王	豫	用誠
翁經	翁	經	載道
滕佐	滕	佐	良輔
沈聲	沈	聲	廷和
孟淮	孟	淮	宗海
郁綸	郁	綸	理之
黃讓	黃	讓	用遜
楊清	楊	清	汝正
蔣瑄	蔣	瑄	文璽
林孔仁	林	孔仁	孔仁
劉謨	劉	謨	應咨
黎庸	黎	庸	通理
羅淮	羅	淮	潤民
王績	王	績	功偉
于琇	于	琇	廷玉
李瓘	李	瓘	叔玉
章律	章	律	鳴鳳
楊瑄	楊	瑄	廷獻
王重	王	重	式鈞
金澤	金	澤	用文
王用	王	用	廷用
謝瑀	謝	瑀	叔和
許顒	許	顒	孟敬
王魯	王	魯	希曾
劉濟	劉	濟	彥霑
林宗	林	宗	惟正
李常	李	常	亨常
朱紳	朱	紳	大用
李溥	李	溥	大濟
馮韺	馮	韺	惟和
周正	周	正	直卿
桂茂之	桂	茂之	廷秀
鄧廷瓚	鄧	廷瓚	宗器
聊讓	聊	讓	公遜
李稷	李	稷	廷貴
吳㻞	吳	㻞	德潤
李巽	李	巽	用經
楊紹	楊	紹	紹宗
劉寅之	劉	寅之	主敬
阮勤	阮	勤	必成
何玘	何	玘	廷用
呂恕	呂	恕	希仁
左源	左	源	大本
蔣敵	蔣	敵	宗仁
楊壁	楊	壁	應奎
李景孟	李	景孟	宗浩
秦玘	秦	玘	伯玉
曹隆	曹	隆	邦盛
彭盛	彭	盛	永昌
馮定	馮	定	士定
何淵	何	淵	有本
吳讓	吳	讓	克讓
史珍	史	珍	廷玉
孫忱	孫	忱	誠之
水桓	水	桓	廷圭
張岐	張	岐	來鳳
董淵	董	淵	宗本
吳中	吳	中	□□
丁慈	丁	慈	元愷
康驥	康	驥	德良
王欽	王	欽	允恭
孫敬	孫	敬	孟寅
