# 古代诗人人名数据
# https://github.com/chinese-poetry/chinese-poetry
# https://github.com/yxcs/poems-db
#
# 人名	朝代（参考）

一鉢和尚	唐代
丁一揆	清代
丁三在	近代
丁上左	近代
丁世昌	宋代
丁丙	清代
丁之贤	清代
丁亶	宋代
丁仙现	宋代
丁仙芝	唐代
丁仲远	宋代
丁传煜	清代
丁伯桂	宋代
丁位	唐代
丁信	明代
丁倣	宋代
丁偃	宋代
丁儒	唐代
丁元和	唐代
丁元照	清代
丁先民	宋代
丁几仲	宋代
丁叔岩	宋代
丁叔巖	宋代
丁可	宋代
丁執禮	宋代
丁培	清代
丁大全	宋代
丁大容	宋代
丁天錫	宋代
丁奉	明代
丁如琦	清代
丁宝桢	清代
丁宝臣	宋代
丁宣	宋代
丁宥	宋代
丁察院	宋代
丁寶臣	宋代
丁居信	清代
丁居晦	唐代
丁带	宋代
丁師正	宋代
丁廷烺	清代
丁必捷	清代
丁思孔	清代
丁惟	宋代
丁持正	宋代
丁无悔	宋代
丁明登	明代
丁易東	宋代
丁木	宋代
丁棠发	清代
丁棱	唐代
丁正持	宋代
丁毓英	清代
丁氏	宋代
丁氏	清代
丁求安	宋代
丁注	宋代
丁浚明	宋代
丁清度	清代
丁渥妻	宋代
丁澎	清代
丁澤	
丁玉藻	清代
丁石	宋代
丁祖荫	清代
丁稜	唐代
丁立中	近代
丁竦	宋代
丁竹巖	宋代
丁维时	清代
丁羲叟	宋代
丁翼	清代
丁臣	宋代
丁西湖	宋代
丁諷	宋代
丁謂	宋代
丁谓	宋代
丁起浚	
丁逢	宋代
丁逢季	宋代
丁開	宋代
丁静兰	清代
丁騭	宋代
丁高林	宋代
丁默	宋代
丁黼	宋代
七歲女子	唐代
万世延	宋代
万以申	明代
万俟咏	宋代
万俟紹之	宋代
万俟绍之	宋代
万俟造	唐代
万友正	清代
万哲	宋代
万士和	明代
万寿祺	清代
万崇义	清代
万斛泉	清代
万方煦	清代
万某	宋代
万树	明代
万楚	唐代
万正常	近代
万秋期	清代
万规	宋代
万钟杰	清代
万锦雯	清代
万齐融	唐代
三學諸生	宋代
三朵花	宋代
三槐	宋代
上元夫人	唐代
上官仪	唐代
上官仲恭	宋代
上官儀	唐代
上官凝	宋代
上官周	清代
上官均	宋代
上官彝	宋代
上官彥宗	宋代
上官彦宗	宋代
上官昭容	唐代
上官涣酉	宋代
上官渙酉	宋代
上官琪園	宋代
上官祐	宋代
上官統	宋代
上官良史	宋代
上官藻	宋代
上官辰	宋代
上官道人	宋代
上崇	清代
上思	清代
上清真人	宋代
不忽木	
不詳	唐代
世续	清代
丘	宋代
丘上卿	唐代
丘丹	唐代
丘为	唐代
丘云霄	明代
丘光庭	唐代
丘吉	明代
丘士元	
丘处机	宋代
丘岳	宋代
丘崈	宋代
丘悅	唐代
丘悦	
丘敦	明代
丘氏	宋代
丘浚	明代
丘渊之	南北朝
丘濬	宋代
丘為	
丘無逸	宋代
丘爲	唐代
丘瑟如	清代
丘程	宋代
丘葵	宋代
丘說	唐代
丘谦之	明代
丘象随	清代
