# 名人人名数据库（1919至今-等性别比例）
# https://github.com/NLPBLCU/Chinese-Celebrities-Names
# 说明：原始来源不明，可能来自百度百科等，缺失知名政治人物名字，性别标签可用于分类模型等
#
# 姓名	名	性别

黄小俊	小俊	男
韩召颖	召颖	男
刘苡馨	苡馨	女
邓涵一	涵一	女
钟本强	本强	男
鲁俊谷	俊谷	男
蒋新征	新征	男
汪希玥	希玥	女
魏旭昶	旭昶	男
平新来	新来	男
段相霖	相霖	男
张信儿	信儿	女
曾祥彪	祥彪	男
兜宝	宝	女
王永敏	永敏	男
段德海	德海	男
张隆挺	隆挺	男
张元键	元键	男
马军成	军成	男
周海洁	海洁	女
许泽永	泽永	男
焦焕成	焕成	男
门传真	传真	男
刘方棠	方棠	男
唐中祥	中祥	男
邹经湘	经湘	男
刘向蕙	向蕙	女
谭景峰	景峰	男
连燕华	燕华	男
刘霓娜	霓娜	女
蒋志雄	志雄	男
颜志煌	志煌	男
贺恩友	恩友	男
贾云馨	云馨	女
吕怿娈	怿娈	女
闻学良	学良	男
李康和	康和	男
张启舜	启舜	男
窦学友	学友	男
胡本祥	本祥	男
俞春旺	春旺	男
雷崇善	崇善	男
龙世平	世平	男
韩小野	小野	女
王仁卉	仁卉	男
黄修国	修国	男
贾育平	育平	男
邓宏光	宏光	男
邵完存	完存	男
严君国	君国	男
郑俊荣	俊荣	男
黎灿	灿	男
吴岩峻	岩峻	男
张炳翔	炳翔	男
许自成	自成	男
颜朝华	朝华	男
陈久琪	久琪	男
占国桥	国桥	男
张孝存	孝存	男
徐瑚珊	瑚珊	男
胡朝荣	朝荣	男
高幼衡	幼衡	男
李依宸	依宸	女
张楚儿	楚儿	女
卜玉坤	玉坤	男
姜锡东	锡东	男
徐赟涵	赟涵	女
严稚棱	稚棱	女
李巧罗	巧罗	男
潘继武	继武	男
唐智刚	智刚	男
杨评防	评防	男
谈俊忠	俊忠	男
于涌津	涌津	男
王水亮	水亮	男
石国刚	国刚	男
劳新祥	新祥	男
陈馨妍	馨妍	女
徐茂栋	茂栋	男
曹默	默	男
岩庄尖	庄尖	男
叶华杰	华杰	男
卫祥玉	祥玉	男
曼萱	萱	女
李一情	一情	女
刘贤谦	贤谦	男
王诗龄	诗龄	女
郭建安	建安	男
谭蓓儿	蓓儿	女
邵汶	汶	男
刘珣	珣	男
张楚怡	楚怡	女
朱学才	学才	男
王洪谟	洪谟	男
杨蒨雯	蒨雯	女
蔡耀昌	耀昌	男
卢献匾	献匾	男
贾淇雯	淇雯	女
盘思婷	思婷	女
陈传根	传根	男
楚行宇	行宇	男
王芊千	芊千	女
曲隽希	隽希	女
鲁开盛	开盛	男
蒋万春	万春	男
胡希成	希成	男
王巧	巧	女
黄锦朝	锦朝	男
刘梁剑	梁剑	男
莫世亮	世亮	男
鲁胡子	胡子	男
刘英传	英传	男
严联辉	联辉	男
梁中秀	中秀	男
程强斌	强斌	男
戴贤才	贤才	男
谯文成	文成	男
揭志明	志明	男
李安俊	安俊	男
温孚江	孚江	男
尤剑鹏	剑鹏	男
蔡书雅	书雅	女
李武好	武好	男
刘秀桦	秀桦	女
彭乙芯	乙芯	女
毛甜懿	甜懿	女
李宗双	宗双	男
刘江年	江年	男
刘景翼	景翼	男
寻民传	民传	男
张籽沐	籽沐	女
温其辉	其辉	男
孙有声	有声	男
郑伯萍	伯萍	男
何先美	先美	男
潘玉忠	玉忠	男
严小龙	小龙	男
王鲁彬	鲁彬	男
罗育德	育德	男
胡敏强	敏强	男
何昭红	昭红	男
孙家炳	家炳	男
夏欣才	欣才	男
