# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

爱	动	ài	1	一级
爱好	动、名	àihào	2	一级
八	数	bā	3	一级
爸爸∣爸	名	bàba∣bà	4	一级
吧	助	ba	5	一级
白	形	bái	6	一级
白天	名	báitiān	7	一级
百	数	bǎi	8	一级
班	名、量	bān	9	一级
半	数	bàn	10	一级
半年		bàn nián	11	一级
半天		bàntiān	12	一级
帮	动	bāng	13	一级
帮忙		bāng∥máng	14	一级
包	名、量、动	bāo	15	一级
包子	名	bāozi	16	一级
杯	量	bēi	17	一级
杯子	名	bēizi	18	一级
北	名	běi	19	一级
北边	名	běibian	20	一级
北京	名	Běijīng	21	一级
本	量	běn	22	一级
本子	名	běnzi	23	一级
比	介、动	bǐ	24	一级
别	副	bié	25	一级
别的	代	biéde	26	一级
别人	代	bié·rén	27	一级
病	名、动	bìng	28	一级
病人	名	bìngrén	29	一级
不大		bú dà	30	一级
不对	形	búduì	31	一级
不客气		bú kèqì	32	一级
不用	副	búyòng	33	一级
不	副	bù	34	一级
菜	名	cài	35	一级
茶	名	chá	36	一级
差	动、形	chà	37	一级
常	副	cháng	38	一级
常常	副	chángcháng	39	一级
唱	动	chàng	40	一级
唱歌		chàng∥gē	41	一级
车	名	chē	42	一级
车票	名	chēpiào	43	一级
车上		chē shang	44	一级
车站	名	chēzhàn	45	一级
吃	动	chī	46	一级
吃饭		chī∥fàn	47	一级
出	动	chū	48	一级
出来		chū∥·lái	49	一级
出去		chū∥·qù	50	一级
穿	动	chuān	51	一级
床	名	chuáng	52	一级
次	量	cì	53	一级
从	介	cóng	54	一级
错	形、名	cuò	55	一级
打	动	dǎ	56	一级
打车		dǎ∥chē	57	一级
打电话		dǎ diànhuà	58	一级
打开		dǎ∥kāi	59	一级
打球		dǎ qiú	60	一级
大	形	dà	61	一级
大学	名	dàxué	62	一级
大学生	名	dàxuéshēng	63	一级
到	动	dào	64	一级
得到		dé∥dào	65	一级
地	助	de	66	一级
的	助	de	67	一级
等	动	děng	68	一级
地	名	dì	69	一级
地点	名	dìdiǎn	70	一级
地方	名	dìfang	71	一级
地上		dìshang	72	一级
地图	名	dìtú	73	一级
弟弟∣弟	名	dìdi∣dì	74	一级
第（第二）	前缀	dì (dì-èr)	75	一级
点	量、动、名	diǎn	76	一级
电	名	diàn	77	一级
电话	名	diànhuà	78	一级
电脑	名	diànnǎo	79	一级
电视	名	diànshì	80	一级
电视机	名	diànshìjī	81	一级
电影	名	diànyǐng	82	一级
电影院	名	diànyǐngyuàn	83	一级
东	名	dōng	84	一级
东边	名	dōngbian	85	一级
东西	名	dōngxi	86	一级
动	动	dòng	87	一级
动作	名	dòngzuò	88	一级
都	副	dōu	89	一级
读	动	dú	90	一级
读书		dú∥shū	91	一级
对	形	duì	92	一级
对不起	动	duìbuqǐ	93	一级
多	形、代	duō	94	一级
多少	代	duōshao	95	一级
饿	形、动	è	96	一级
儿子	名	érzi	97	一级
二	数	èr	98	一级
饭	名	fàn	99	一级
饭店	名	fàndiàn	100	一级
房间	名	fángjiān	101	一级
房子	名	fángzi	102	一级
放	动	fàng	103	一级
放假		fàng∥jià	104	一级
放学		fàng∥xué	105	一级
飞	动	fēi	106	一级
飞机	名	fēijī	107	一级
非常	副	fēicháng	108	一级
分	名、量	fēn	109	一级
风	名	fēng	110	一级
干	形	gān	111	一级
干净	形	gānjìng	112	一级
干	动	gàn	113	一级
干什么		gàn shénme	114	一级
高	形	gāo	115	一级
高兴	形	gāoxìng	116	一级
告诉	动	gàosu	117	一级
哥哥∣哥	名	gēge∣gē	118	一级
歌	名	gē	119	一级
个	量	gè	120	一级
给	动、介	gěi	121	一级
跟	介、连、动	gēn	122	一级
工人	名	gōngrén	123	一级
工作	动、名	gōngzuò	124	一级
关	动	guān	125	一级
关上		guānshang	126	一级
贵	形	guì	127	一级
国	名	guó	128	一级
国家	名	guójiā	129	一级
国外		guó wài	130	一级
过	动	guò	131	一级
还	副	hái	132	一级
还是	副、连	háishi	133	一级
还有		hái yǒu	134	一级
孩子	名	háizi	135	一级
汉语	名	Hànyǔ	136	一级
汉字	名	Hànzì	137	一级
好	形	hǎo	138	一级
好吃	形	hǎochī	139	一级
好看	形	hǎokàn	140	一级
好听	形	hǎotīng	141	一级
好玩儿	形	hǎowánr	142	一级
号	名、量	hào	143	一级
喝	动	hē	144	一级
和	介、连	hé	145	一级
很	副	hěn	146	一级
后	名	hòu	147	一级
后边	名	hòubian	148	一级
后天	名	hòutiān	149	一级
花	名	huā	150	一级
话	名	huà	151	一级
坏	形	huài	152	一级
还	动	huán	153	一级
回	动	huí	154	一级
回答	动、名	huídá	155	一级
回到	动	huídào	156	一级
回家		huí jiā	157	一级
回来		huí∥·lái	158	一级
回去		huí∥·qù	159	一级
会	动	huì	160	一级
火车	名	huǒchē	161	一级
机场	名	jīchǎng	162	一级
机票	名	jīpiào	163	一级
鸡蛋	名	jīdàn	164	一级
几	数、代	jǐ	165	一级
记	动	jì	166	一级
记得	动	jìde	167	一级
记住		jìzhù	168	一级
家	名、量	jiā	169	一级
家里		jiā li	170	一级
家人	名	jiārén	171	一级
间	量	jiān	172	一级
见	动	jiàn	173	一级
见面		jiàn∥miàn	174	一级
教	动	jiāo	175	一级
叫	动	jiào	176	一级
教学楼	名	jiàoxuélóu	177	一级
姐姐∣姐	名	jiějie∣jiě	178	一级
介绍	动	jièshào	179	一级
今年	名	jīnnián	180	一级
今天	名	jīntiān	181	一级
进	动	jìn	182	一级
进来		jìn∥·lái	183	一级
进去		jìn∥·qù	184	一级
九	数	jiǔ	185	一级
就	副	jiù	186	一级
觉得	动	juéde	187	一级
开	动	kāi	188	一级
开车		kāi∥chē	189	一级
开会		kāi∥huì	190	一级
开玩笑		kāi wánxiào	191	一级
看	动	kàn	192	一级
看病		kàn∥bìng	193	一级
看到		kàndào	194	一级
看见		kàn∥jiàn	195	一级
考	动	kǎo	196	一级
考试		kǎo∥shì	197	一级
渴	形	kě	198	一级
课	名	kè	199	一级
课本	名	kèběn	200	一级
课文	名	kèwén	201	一级
口	量、名	kǒu	202	一级
块	名、量	kuài	203	一级
快	形、副	kuài	204	一级
来	动	lái	205	一级
来到	动	láidào	206	一级
老	形	lǎo	207	一级
老人	名	lǎorén	208	一级
老师	名	lǎoshī	209	一级
了	助	le	210	一级
累	形	lèi	211	一级
冷	形	lěng	212	一级
里	名	lǐ	213	一级
里边	名	lǐbian	214	一级
两	数	liǎng	215	一级
零∣〇	数	líng∣líng	216	一级
六	数	liù	217	一级
楼	名	lóu	218	一级
楼上		lóu shàng	219	一级
楼下		lóu xià	220	一级
路	名、量	lù	221	一级
路口	名	lùkǒu	222	一级
路上	名	lùshang	223	一级
妈妈∣妈	名	māma∣mā	224	一级
马路	名	mǎlù	225	一级
马上	副	mǎshàng	226	一级
吗	助	ma	227	一级
买	动	mǎi	228	一级
慢	形	màn	229	一级
忙	形	máng	230	一级
毛	量	máo	231	一级
