# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
ABC	ABC
ABS	ABS
AB制	AB zhì
AB角	AB jiǎo
ADSL	ADSL
AI	AI
AIDS	AIDS
AM	AM
APC	APC
APEC	APEC
API	API
AQ	AQ
ATM机	ATM jī
AV	AV
A股	A gǔ
B2B	B2B
B2C	B2C
BBC	BBC
BBS	BBS
BD	BD
BEC	BEC
BP机	BP jī
BRT	BRT
B淋巴细胞	B lín bā xì bāo
B细胞	B xì bāo
B股	B gǔ
B超	B chāo
C2C	C2C
CAD	CAD
CAI	CAI
CATV	CATV
CBA	CBA
CBD	CBD
CCC	CCC
CCD	CCD
CCTV	CCTV
CD	CD
CD-R	CD-R
CD-ROM	CD-ROM
CD-RW	CD-RW
CDC	CDC
CDMA	CDMA
CEO	CEO
CEPA	CEPA
CET	CET
CFO	CFO
CI	CI
CIA	CIA
CIMS	CIMS
CIP	CIP
CMOS	CMOS
CNN	CNN
CPA	CPA
CPI	CPI
CPU	CPU
CRT	CRT
CT	CT
C⁴ISR	C⁴ISR
DC	DC
DIY	DIY
DJ	DJ
DNA	DNA
DNA芯片	DNA xīn piàn
DOS	DOS
DSL	DSL
DV	DV
DVD	DVD
E-mail	E-mail
EBD	EBD
ECFA	ECFA
ED	ED
EDI	EDI
EMBA	EMBA
EMS	EMS
EQ	EQ
ETC	ETC
EV	EV
F1	F1
FAX	FAX
FBI	FBI
FM	FM
FTA	FTA
GB	GB
GDP	GDP
GIS	GIS
GMAT	GMAT
GMP	GMP
GNP	GNP
GPS	GPS
GRE	GRE
GSM	GSM
HDMI	HDMI
HDTV	HDTV
HIV	HIV
HR	HR
HSK	HSK
H股	H gǔ
ICP	ICP
ICU	ICU
IC卡	IC kǎ
IDC	IDC
IMAX	IMAX
IMF	IMF
IOC	IOC
IPO	IPO
IPTV	IPTV
IP卡	IP kǎ
IP地址	IP dì zhǐ
IP电话	IP diàn huà
IQ	IQ
ISBN	ISBN
ISO	ISO
ISP	ISP
ISSN	ISSN
IT	IT
ITS	ITS
KTV	KTV
K歌	K gē
K粉	K fěn
K线	K xiàn
K金	K jīn
LCD	LCD
LD	LD
LED	LED
LPG	LPG
M0	M0
M1	M1
M2	M2
MBA	MBA
MP3	MP3
MP4	MP4
MPA	MPA
MPEG	MPEG
MRI	MRI
MTV	MTV
MV	MV
NBA	NBA
NCAP	NCAP
NG	NG
NGO	NGO
NHK	NHK
NMD	NMD
O2O	O2O
OA	OA
OCR	OCR
OEM	OEM
OL	OL
OLED	OLED
OPEC	OPEC
OTC	OTC
PC	PC
PC机	PC jī
PDA	PDA
PDP	PDP
PE	PE
PET	PET
PETS	PETS
PK	PK
PM10	PM10
PM2.5	PM2.5
PMI	PMI
POS机	POS jī
PPA	PPA
PPI	PPI
PS	PS
PSC	PSC
PT	PT
PVC	PVC
QC	QC
QDII	QDII
QFII	QFII
QQ	QQ
QS	QS
Q版	Q bǎn
RAM	RAM
RFID	RFID
RMB	RMB
RNA	RNA
ROM	ROM
RS	RS
SARS	SARS
SCI	SCI
SDR	SDR
SIM卡	SIM kǎ
SNG	SNG
SNS	SNS
SOHO	SOHO
SOS	SOS
