# 《咬文嚼字》年度十大流行语
#
# 序号	流行语

# 2024年十大流行语
一	数智化
二	智能向善
三	未来产业
四	city不city  
五	硬控
六	水灵灵地×××
七	班味
八	松弛感
九	银发力量
十	小孩哥／小孩姐
# 2023年十大流行语
一	新质生产力
二	双向奔赴
三	人工智能大模型
四	村超
五	特种兵式旅游
六	显眼包
七	搭子
八	多巴胺××
九	情绪价值
十	质疑××，理解××，成为××
# 2022年十大流行语
一	踔厉奋发、勇毅前行
二	中国式现代化
三	新赛道
四	大白
五	烟火气
六	天花板
七	拿捏
八	雪糕刺客
九	精神内耗
十	沉浸式
# 2021年十大流行语
一	百年未有之大变局
二	小康
三	赶考
四	双减
五	碳达峰，碳中和
六	野性消费
七	破防
八	鸡娃
九	躺平
十	元宇宙
# 2020年十大流行语
一	人民至上，生命至上
二	逆行者
三	飒
四	后浪
五	神兽
六	直播带货
七	双循环
八	打工人
九	内卷
十	凡尔赛文学
# 2019年十大流行语
一	文明互鉴
二	区块链
三	硬核
四	融梗
五	××千万条，××第一条
六	柠檬精
七	996
八	我太难／南了
九	我不要你觉得，我要我觉得
十	霸凌主义
# 2018年十大流行语
一	命运共同体
二	锦鲤
三	店小二
四	教科书式
五	官宣
六	确认过眼神
七	退群
八	佛系
九	巨婴
十	杠精
# 2017年十大流行语
一	不忘初心
二	砥砺奋进
三	共享
四	有温度
五	流量
六	可能×××假×××
七	油腻
八	尬
九	怼
十	打call
# 2016年十大流行语
一	洪荒之力
二	吃瓜群众
三	工匠精神
四	小目标
五	一言不合就××
六	友谊的小船，说翻就翻
七	供给侧
八	葛优躺
九	套路
十	蓝瘦，香菇
# 2015年十大流行语
一	获得感
二	互联网+
三	颜值
四	宝宝
五	创客
六	脑洞大开
七	任性
八	剁手党
九	网红
十	主要看气质
# 2014年十大流行语
一	顶层设计
二	新常态
三	打虎拍蝇
四	断崖式
五	你懂的
六	断舍离
七	失联
八	神器
九	高大上
十	萌萌哒
# 2013年十大流行语
一	中国梦
二	光盘
三	倒逼
四	逆袭
五	微××
六	大V
七	女汉子
八	土豪
九	奇葩
十	点赞
# 2012年十大流行语
一	正能量
二	元芳，你怎么看？
三	舌尖上
四	躺着也中枪
五	高富帅
六	中国式
七	压力山大
八	赞
九	最美
十	接地气
# 2011年十大流行语
一	亲
二	伤不起
三	hold住
四	我反正信了
五	坑爹
六	卖萌
七	吐槽
八	气场
九	悲催
十	忐忑
# 2010年十大流行语
一	给力
二	神马都是浮云
三	围脖
四	围观
五	二代
六	拼爹
七	控
八	帝
九	达人
十	穿越
# 2009年十大流行语
一	不差钱
二	躲猫猫
三	低碳
四	被就业
五	裸
六	纠结
七	钓鱼
八	秒杀
九	蜗居
十	蚁族
# 2008年十大流行语
一	山寨
二	雷
三	囧
四	和
五	不抛弃不放弃
六	口红效应
七	拐点
八	宅男宅女
九	不折腾
十	非诚勿扰
