# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

愛	1	ㄞˋ	ài	基礎	第1級	核心詞	535	681
吧	2	˙ㄅㄚ	ba	基礎	第1級	核心詞	706	748
八	3	ㄅㄚ	bā	基礎	第1級	核心詞	214	163
爸爸/爸	4	ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ	bàba / bà	基礎	第1級	核心詞	226	806
百	5	ㄅㄞˇ	bǎi	基礎	第1級	核心詞	108	77
半	6	ㄅㄢˋ	bàn	基礎	第1級	核心詞	334	279
本	7	ㄅㄣˇ	běn	基礎	第1級	核心詞	745	368
不	8	ㄅㄨˋ	bù	基礎	第1級	核心詞	9278	8951
茶	9	ㄔㄚˊ	chá	基礎	第1級	餐飲、烹飪	89	449
車子/車	10	ㄔㄜ ˙ㄗ / ㄔㄜ	chēzi / chē	基礎	第1級	核心詞	275	320
吃	11	ㄔ	chī	基礎	第1級	核心詞	668	1438
吃飯	12	ㄔ ㄈㄢˋ	chīfàn	基礎	第1級	核心詞	60	140
打	13	ㄉㄚˇ	dǎ	基礎	第1級	核心詞	352	364
大	14	ㄉㄚˋ	dà	基礎	第1級	核心詞	2110	2859
帶	15	ㄉㄞˋ	dài	基礎	第1級	核心詞	450	684
大家	16	ㄉㄚˋ ㄐㄧㄚ	dàjiā	基礎	第1級	核心詞	464	1712
到	17	ㄉㄠˋ	dào	基礎	第1級	核心詞	2297	3229
大學	18	ㄉㄚˋ ㄒㄩㄝˊ	dàxué	基礎	第1級	教育、學習	380	219
的	19	ㄉㄜ˙	de	基礎	第1級	核心詞	62002	62578
點	20	ㄉㄧㄢˇ	diǎn	基礎	第1級	核心詞	479	684
電話	21	ㄉㄧㄢˋ ㄏㄨㄚˋ	diànhuà	基礎	第1級	核心詞	167	72
弟弟/弟	22	ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ	dìdi / dì	基礎	第1級	核心詞	96	88
東西	23	ㄉㄨㄥ ˙ㄒㄧ	dōngxi	基礎	第1級	核心詞	561	1120
都	24	ㄉㄡ	dōu	基礎	第1級	核心詞	4645	7029
對	25	ㄉㄨㄟˋ	duì	基礎	第1級	核心詞	3485	5883
對不起	26	ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ	duìbùqǐ	基礎	第1級	社交、人際	37	65
多	27	ㄉㄨㄛ	duō	基礎	第1級	核心詞	1236	1594
多少	28	ㄉㄨㄛ ㄕㄠˇ	duōshǎo	基礎	第1級	核心詞	207	272
二	29	ㄦˋ	èr	基礎	第1級	核心詞	539	227
兒子	30	ㄦˊ ˙ㄗ	érzi	基礎	第1級	個人資料	277	149
分	31	ㄈㄣ	fēn	基礎	第1級	核心詞	225	359
高	32	ㄍㄠ	gāo	基礎	第1級	核心詞	496	694
個	33	˙ㄍㄜ	ge	基礎	第1級	核心詞	9562	20644
哥哥/哥	34	ㄍㄜ ˙ㄍㄜ / ㄍㄜ	gēge / gē	基礎	第1級	核心詞	113	148
給	35	ㄍㄟˇ	gěi	基礎	第1級	核心詞	1039	1401
工作	36	ㄍㄨㄥ ㄗㄨㄛˋ	gōngzuò	基礎	第1級	職業	904	994
國	37	ㄍㄨㄛˊ	guó	基礎	第1級	核心詞	256	363
孩子	38	ㄏㄞˊ ˙ㄗ	háizi	基礎	第1級	核心詞	1345	1059
和1	39	ㄏㄢˋ / ㄏㄜˊ	hàn / hé	基礎	第1級	核心詞	5437	2135
好1	40	ㄏㄠˇ	hǎo	基礎	第1級	核心詞	1887	5853
號1	41	ㄏㄠˋ	hào	基礎	第1級	核心詞	73	295
喝	42	ㄏㄜ	hē	基礎	第1級	核心詞	250	296
很	43	ㄏㄣˇ	hěn	基礎	第1級	核心詞	3068	6550
後	44	ㄏㄡˋ	hòu	基礎	第1級	核心詞	1593	891
話	45	ㄏㄨㄚˋ	huà	基礎	第1級	核心詞	589	1492
幾	46	ㄐㄧˇ	jǐ	基礎	第1級	核心詞	963	706
家	47	ㄐㄧㄚ	jiā	基礎	第1級	核心詞	1060	1286
腳	48	ㄐㄧㄠˇ	jiǎo	基礎	第1級	核心詞	208	178
叫	49	ㄐㄧㄠˋ	jiào	基礎	第1級	核心詞	533	570
姊姊/姐姐/姊/姐	50	ㄐㄧㄝˇ ˙ㄐㄧㄝ / ㄐㄧㄝˇ	jiějie / jiě	基礎	第1級	核心詞	108	328
今年	51	ㄐㄧㄣ ㄋㄧㄢˊ	jīnnián	基礎	第1級	核心詞	44	343
今天	52	ㄐㄧㄣ ㄊㄧㄢ	jīntiān	基礎	第1級	核心詞	290	1071
久	53	ㄐㄧㄡˇ	jiǔ	基礎	第1級	核心詞	276	293
九	54	ㄐㄧㄡˇ	jiǔ	基礎	第1級	核心詞	138	82
就	55	ㄐㄧㄡˋ	jiù	基礎	第1級	核心詞	7262	16921
咖啡	56	ㄎㄚ ㄈㄟ	kāfēi	基礎	第1級	餐飲、烹飪	55	89
看1	57	ㄎㄢˋ	kàn	基礎	第1級	核心詞	1808	3076
可能	58	ㄎㄜˇ ㄋㄥˊ	kěnéng	基礎	第1級	核心詞	1124	1522
可以	59	ㄎㄜˇ ㄧˇ	kěyǐ	基礎	第1級	核心詞	2312	4257
塊	60	ㄎㄨㄞˋ	kuài	基礎	第1級	核心詞	240	542
來	61	ㄌㄞˊ	lái	基礎	第1級	核心詞	2983	5979
老	62	ㄌㄠˇ	lǎo	基礎	第1級	核心詞	367	267
老師	63	ㄌㄠˇ ㄕ	lǎoshī	基礎	第1級	教育、學習	327	1420
冷	64	ㄌㄥˇ	lěng	基礎	第1級	核心詞	71	215
兩	65	ㄌㄧㄤˇ	liǎng	基礎	第1級	核心詞	2149	1737
六	66	ㄌㄧㄡˋ	liù	基礎	第1級	核心詞	306	208
路	67	ㄌㄨˋ	lù	基礎	第1級	核心詞	300	352
嗎	68	˙ㄇㄚ	ma	基礎	第1級	核心詞	945	1760
買	69	ㄇㄞˇ	mǎi	基礎	第1級	核心詞	262	449
媽媽/媽	70	ㄇㄚ ˙ㄇㄚ / ㄇㄚ	māma / ma	基礎	第1級	核心詞	402	1342
沒	71	ㄇㄟˊ	méi	基礎	第1級	核心詞	1269	1260
