# 第一批异形词整理表
# 20011219-GF 1001-2001《第一批异形词整理表》
# http://xh.5156edu.com/page/z2137m9645j19351.html
# https://jwc.ytvc.edu.cn/info/1050/1214.htm
# 共338组异形词以及【附录】含有非规范字的异形词（共44组，序号A1-A44）
#
# 推荐词形	异形词	序号	拼音

按捺	按纳	1	ànnà
按语	案语	2	ànyǔ
百废俱兴	百废具兴	3	bǎifèi-jùxīng
百叶窗	百页窗	4	bǎiyèchuāng
斑白	班白、颁白	5	bānbái
斑驳	班驳	6	bānbó
孢子	胞子	7	bāozǐ
保镖	保镳	8	bǎobiāo
保姆	保母、褓姆	9	bǎomǔ
辈分	辈份	10	bèifèn
本分	本份	11	běnfèn
笔画	笔划	12	bǐhuà
毕恭毕敬	必恭必敬	13	bìgōng-bìjìng
编者按	编者案	14	biānzhě’àn
扁豆	萹豆、稨豆、藊豆	15	biǎndòu
标志	标识	16	biāozhì
鬓角	鬓脚	17	bìnjiǎo
秉承	禀承	18	bǐngchéng
补丁	补靪、补钉	19	bǔding
参与	参预	20	cānyù
惨淡	惨澹	21	cǎndàn
差池	差迟	22	chāchí
掺和	搀和	23	chānhuo
掺假	搀假	24	chānjiǎ
掺杂	搀杂	25	chānzá
铲除	刬除	26	chǎnchú
徜徉	倘佯	27	chángyáng
车厢	车箱	28	chēxiāng
彻底	澈底	29	chèdǐ
沉思	沈思	30	chénsī
称心	趁心	31	chènxīn
成分	成份	32	chéngfèn
澄澈	澄彻	33	chéngchè
侈靡	侈糜	34	chǐmí
筹划	筹画	35	chóuhuà
筹码	筹马	36	chóumǎ
踌躇	踌蹰	37	chóuchú
出谋划策	出谋画策	38	chūmóu-huàcè
喘吁吁	喘嘘嘘	39	chuǎnxūxū
瓷器	磁器	40	cíqì
赐予	赐与	41	cìyǔ
粗鲁	粗卤	42	cūlǔ
搭档	搭当、搭挡	43	dādàng
搭讪	搭赸、答讪	44	dāshàn
答复	答覆	45	dáfù
戴孝	带孝	46	dàixiào
担心	耽心	47	dānxīn
担忧	耽忧	48	dānyōu
耽搁	担搁	49	dānge
淡泊	澹泊	50	dànbó
淡然	澹然	51	dànrán
倒霉	倒楣	52	dǎoméi
低回	低徊	53	dīhuí
凋敝	雕敝、雕弊	54	diāobì
凋零	雕零	55	diāolíng
凋落	雕落	56	diāoluò
凋谢	雕谢	57	diāoxiè
跌宕	跌荡	58	diēdàng
跌跤	跌交	59	diējiāo
喋血	蹀血	60	diéxuè
叮咛	丁宁	61	dīngníng
订单	定单	62	dìngdān
订户	定户	63	dìnghù
订婚	定婚	64	dìnghūn
订货	定货	65	dìnghuò
订阅	定阅	66	dìngyuè
斗拱	枓拱、枓栱	67	dǒugǒng
逗留	逗遛	68	dòuliú
逗趣儿	斗趣儿	69	dòuqùr
独角戏	独脚戏	70	dújiǎoxì
端午	端五	71	duānwǔ
二黄	二簧	72	èrhuáng
二心	贰心	73	èrxīn
发酵	酦酵	74	fājiào
发人深省	发人深醒	75	fārén-shēnxǐng
繁衍	蕃衍	76	fányǎn
吩咐	分付	77	fēnfù
分量	份量	78	fènliàng
分内	份内	79	fènnèi
分外	份外	80	fènwài
分子	份子	81	fènzǐ
愤愤	忿忿	82	fènfèn
丰富多彩	丰富多采	83	fēngfù-duōcǎi
风瘫	疯瘫	84	fēngtān
疯癫	疯颠	85	fēngdiān
锋芒	锋铓	86	fēngmáng
服侍	伏侍、服事	87	fúshi
服输	伏输	88	fúshū
服罪	伏罪	89	fúzuì
负隅顽抗	负嵎顽抗	90	fùyú-wánkàng
附会	傅会	91	fùhuì
复信	覆信	92	fùxìn
覆辙	复辙	93	fùzhé
干预	干与	94	gānyù
告诫	告戒	95	gàojiè
耿直	梗直、鲠直	96	gěngzhí
恭维	恭惟	97	gōngwei
勾画	勾划	98	gōuhuà
勾连	勾联	99	gōulián
孤苦伶仃	孤苦零丁	100	gūkǔ-língdīng
辜负	孤负	101	gūfù
古董	骨董	102	gǔdǒng
股份	股分	103	gǔfèn
骨瘦如柴	骨瘦如豺	104	gǔshòu-rúchái
关联	关连	105	guānlián
光彩	光采	106	guāngcǎi
归根结底	归根结柢	107	guīgēn-jiédǐ
规诫	规戒	108	guījiè
鬼哭狼嚎	鬼哭狼嗥	109	guǐkū-lángháo
过分	过份	110	guòfèn
蛤蟆	虾蟆	111	háma
含糊	含胡	112	hánhu
含蓄	涵蓄	113	hánxù
寒碜	寒伧	114	hánchen
喝彩	喝采	115	hècǎi
喝倒彩	喝倒采	116	hèdàocǎi
轰动	哄动	117	hōngdòng
弘扬	宏扬	118	hóngyáng
红彤彤	红通通	119	hóngtōngtōng
宏论	弘论	120	hónglùn
宏图	弘图、鸿图	121	hóngtú
宏愿	弘愿	122	hóngyuàn
宏旨	弘旨	123	hóngzhǐ
洪福	鸿福	124	hóngfú
狐臭	胡臭	125	húchòu
蝴蝶	胡蝶	126	húdié
糊涂	胡涂	127	hútu
琥珀	虎魄	128	hǔpò
花招	花着	129	huāzhāo
划拳	豁拳、搳拳	130	huáquán
恍惚	恍忽	131	huǎnghū
辉映	晖映	132	huīyìng
溃脓	㱮脓	133	huìnóng
浑水摸鱼	混水摸鱼	134	húnshuǐ-mōyú
伙伴	火伴	135	huǒbàn
机灵	机伶	136	jīling
激愤	激忿	137	jīfèn
计划	计画	138	jìhuà
纪念	记念	139	jìniàn
