# 香港粵語大詞典
# https://061061.xyz/39336.html
#
# 詞語	括號詞	頁碼

吖		0041
吖嘛		0041
吖嗱		0041
呀		0041
阿		0041
阿爸		0041
阿伯		0041
阿崩叫狗——越叫越走		0041
阿崩吹簫——嘥聲壞氣		0041
阿保阿勝		0041
阿大		0041
阿斗官		0041
阿丁		0042
阿仔		0042
阿姐		0042
阿吱阿咗		0042
阿豬阿狗		0042
阿福		0042
阿哥		0042
阿哥哥		0042
阿姑		0042
阿公		0042
阿head		0042
阿姨		0042
阿二		0042
阿舅		0042
阿孻		0042
阿媽		0042
阿媽都唔認得		0042
阿媽係女人		0042
阿嫲		0042
阿貓阿狗		0042
阿乜人		0042
阿茂		0042
阿茂整餅——冇嗰樣整嗰樣		0042
阿妹		0043
阿奀		0043
阿女		0043
阿婆		0043
阿三		0043
阿生		0043
阿細		0043
阿嬸		0043
阿壽		0043
阿四		0043
阿嬋		0043
阿傻		0043
阿蛇		0043
阿誰		0043
阿臊	阿蘇	0043
阿嫂		0043
阿叔		0043
阿太		0043
阿駝		0043
阿駝行路——舂舂地		0043
阿差		0044
阿燦		0044
阿超着褲——焗住		0044
阿爺		0044
亞姐		0044
呀		0044
哎吔		0044
哎吔老竇		0044
呃		0044
巴		0044
巴閉		0044
巴打		0044
巴揸		0045
巴辣		0045
巴黎帽		0045
巴士		0045
吧女		0045
把		0045
把心唔定		0045
把火		0045
把家姑婆		0045
把鬼		0045
把口𠺘過油		0045
把口唔修		0045
把脈		0045
把炮		0045
把屁		0045
把舦		0045
罷啦		0045
霸		0045
霸兜雞		0045
霸椏		0045
霸位		0046
霸王		0046
霸王花		0046
霸王雞乸		0046
□□聲		0046
罷就		0046
拜拜		0046
擺白		0046
擺檔		0046
擺酒		0046
擺款		0046
擺闊佬		0046
擺街		0046
擺街邊		0046
擺街站		0046
擺景		0046
擺路祭		0046
擺尾		0046
擺明		0046
擺明車馬		0046
擺平		0047
擺甫士		0047
擺上枱		0047
擺軚		0047
擺枱		0047
擺烏龍		0047
拜月		0047
拜門		0047
拜山		0047
拜神唔見雞		0047
拜仙		0047
拜赤口		0047
敗家仔		0047
敗家精		0047
迫鈕		0047
百搭		0047
百足		0047
百足咁多爪		0047
百中無一		0047
百合匙		0047
百有		0048
百厭		0048
百厭星		0048
百囉		0048
百萬行		0048
百年歸老		0048
百彈齋主		0048
伯父		0048
伯公		0048
伯爺		0048
伯爺公		0048
伯爺婆		0048
伯母		0048
伯娘		0048
